id_comentario_anonimizado,comentario,final_misoginia,final_toxicidade
comentario_2690772,Em nome de Jesus ..o caminho dele será desviado dessa Capeta ..,0,1
comentario_730961,Se fosse o contrário o cara seria preso por a$$edio e responderia um processos nas costas e teria o nome manchado,1,0
comentario_3018257,Não é caso de nós inscritos do co9pini e mesmo assim a gente se sente cansado.,0,0
comentario_21660,Calma aí né…Político não fala da família do outro por que tem caráter…e sim porque sabe que todo o dinheiro sujo está no nome dos familiares.,0,1
comentario_2265724,"Fique a vontade, eu sai da plantação e não retorno nunca mais, nem sobe ameaça do estado ou seja o que for.",0,0
comentario_2827000,Dá até pena do Carioca... Apaixonado...Vai ralar muito pra se restabelecer...,0,0
comentario_2425357,Isso aí se chama prostituta. A pessoa não faz nada e exige que o homem ganha bem pra sustentala. Deve ser bem pesado carregar essa mala sem alça,1,1
comentario_1443060,TEM ESCAPATÓRIA SIM !!! IMPOSTO ( ESTELIONATO ) PARA HOMEM SOLTEIRO COM DREX DIRETO NA SUA CONTA EM BREVE !!!,0,0
comentario_1795097,"Mas tem muitos que assediam via internet também São inconvenientes, mandam foto do penis sem ninguém pedir, stalkeiam, só mudou a forma de abordar",0,0
comentario_1495713,Ele tava possuído pelo 9 CASCOS do PT,0,1
comentario_2883098,FALSA ACUSAÇÃO DEVERIA TER PENA DE UNS 30 ANOS E SEM REDUCAO DE PENA !!! E F0D4 S3 QUEM DISCORDAR!!,0,1
comentario_1960511,Ela abandonou para não sofrer lesão grave.,0,0
comentario_993533,É tu né clôvis? Braços fortes kkk,0,0
comentario_1570204,"@  Aí é que tá, Instituto Mises não é levado mais a sério nem pelos ancaps. Dificilmente alguém hoje em dia usa os artigos de lá como referência.",0,0
comentario_2816441,Mas aí sua irmã é uma vacilona,0,1
comentario_464118,E você já deu para quantas 😅😅😅😅,0,1
comentario_2145200,Aceito até um real pra n topa com vc😅😅😅😅😅,0,0
comentario_1634401,"@ -fo4im sim. Mas você não sabe se é esse o ""motivo"" dele. Na maioria das vezes, são homens imaturos que não aguentam a responsabilidade de um casamento. Na minha humilde opinião, não deveriam nem namorar se não estão prontos para casar",0,1
comentario_311009,Cara que pega mulher casada tem que ter consciência que um dia a conta pode chegar e tenho até o valor e os valores são 38.  380  ponto 40 ou outros calibres então tomem cuidado,0,1
comentario_1768044,Valores que não existe porque casou?,0,0
comentario_1442807,"Carro elétrico eu sou contra . O jeep atoleide só se torna Renegade com motor diesel . O 500 eu já entrei e achei pequeno, tipo tu fica meio torto pra guiar . Andei no cooper do primo da minha mulher e achei sem graça",0,0
comentario_1463260,"a mulher aponta o cabresto para a esquerda e o cavalo (homem) vai para a direita, é revoltante para as magnânimas como um animal até então subserviente tenha vontade própria.",1,1
comentario_2249761,"Deus nos livre desse mal / mau. De todo Mal / Mau, Amém !",0,0
comentario_822364,Ser pobre virou a licença para ser tudo que não presta,0,1
comentario_818552,"Mas ele realmente te superou garota, você que ainda não conseguiu esquecê-lo.",0,0
comentario_2705630,exatamente que desprezo por essa mulher que joga a filha no meio dessa situação pra tentar safar as sua escolha de trair,0,1
comentario_704368,"Sempre fui assim, porém fui chamada de chato e com o apoio da ordinária da mãe, preferiram me mandar embora de casa, porém não desisti da minha filha e por amor a ela contínuo cuidando dela mesmo nao morando mais juntos.",0,1
comentario_2978181,"E AINDA TEM GENTE QUE ACHA QUE ESTAS PR   SÃO UMAS COITADINHAS, SEXO FRÁGIL.PRA MIM O QUE VALE É O CARÁTER DA PESSOA, E NÃO O GÊNERO DELA.MERCADORIA POR MERCADORIA, PREFIRO AS GP, SAI MAIS BARATO E EVITO GRANDES PROBLEMAS.",1,0
comentario_35704,"Cara, eu acho um saco esse papo de questionar o Arthur sobre Ucrânia. Ele praticou corrupção? Caçaram o cara por achar mulher bonita ou zoar com amigos situaçoes descontraidas? O cara é uma pessoa normal, uma pessoa comum, não é um robô.",0,0
comentario_1262861,"É falta de vergonha sim, mas psicológicamente é por isso, ta carente de validação",0,1
comentario_2997789,"Encheu a conferência de mulher para ficar se queixando e falar de futebol que é bom, nada. Rsrs da hora.",1,0
comentario_1949033,"Cara o maluco já disse q n era pobre ele é herdeiro de milhões  cara  acorda pra vida, e todas as mulheres em algum nível são  feministas",0,1
comentario_3031191,"  Olhamos coisas boas na mulher. Quem vai querer uma mulher só de beleza, mas não faz nada, não contribuiu com nada etc.",1,0
comentario_1756032,"1:10:00 concordo plenamente e ja percebo isso mesmo, meu pai não era presente, mas eu vou ser",0,0
comentario_1748638,"Essa daí sabe oque é uma mulher de valor, muitas se diz mulher de alto valor mas não sabe nem oque é ser uma.",1,0
comentario_528912,"Se mulher é artigo de luxo e tá caro, não se envolve, faz o L .",1,0
comentario_2453911,Isso é uma ofensa para arteMas o óculos de uma delas é legal então dou a nota 10/10,0,0
comentario_238743,"Cativar a nora?Nem sempre é possível. No caso da minha cunhada, descobrimos que ela gosta de colar velcro e casou com o meu irmão apenas para esfregar na cara do ex-marido dela e tentar limpar a imagem dela na cidade de onde veio. Infelizmente, ele não acredita e acha que não gostamos dela por já ter sido casada, mas não é o caso. O que é inadmissível e irremediável é a motivação do primeiro divórcio. Não dá para compatibilizar.",0,1
comentario_2319871,Mais fácil ir nas primas fazer a troca de óleo 😅😅😅😅,0,0
