comentario,final_toxicidade
FALSA ACUSAÇÃO DEVERIA TER PENA DE UNS 30 ANOS E SEM REDUCAO DE PENA !!! E F0D4 S3 QUEM DISCORDAR!!,1
"@  Sim depende. Conheço amigos  mais velhos que cuidam de pai e mãe idosos. Não são do tipo aproveitadores ou ociosos. Solteiros sim, porém  trabalhavam ou já estavam razoavelmente bem estabelecidos.",0
Eu fui. Então falo com propriedade rs,0
Pura verdade. As vzs vejo minha mae chamando atencao do marido dela como se ele fosse filho. Tv um dia q n aguentei e falei p ela ELE É SEU MARIDO N SEU FILHO.,0
Sobre a put  ter chegado na política ou vice e versa.😅😂😂,1
tem alguns de nós que passamos por coisas que você ficaria com depressão.,0
Uma noite com o Neymar Aí daria o golpe da barriga nele 😂😂,1
Penso o mesmo. Tudo separado. Chega de aguentar surto de kapivara. Falsa acusação de assédio.,1
Tem pessoas que tem visão...E tem pessoas que não vê um palmo na frente do nariz.....,0
sim os irmaos nao vao poder nem transplantar orgaos,0
Qual década que estado vai abandonar? Vai ser em pouco tempo? Tomara chega logo o colapso.,0
Além de eunuco vai ser corno  😂😂,1
"Quase todas as mulheres roubaram suas casas dos ex-cônjuges, que na verdade fizeram todo o trabalho duro. Mais mulheres possuem casas do que homens porque as roubaram no divórcio.As mulheres são assertivas nas empresas, podem ser assertivas também no namoro.",1
"Os dias seria abreviado, as pessoas estao pertubadas consumismo!!!",0
A ta Marmita de gringo ou Maria Passaporte,1
E os caras que só não põe o pau em buraco de árvore pq não sabe o que tem lá dentro... Mas por em tudo põe né kkkk,1
"Não é faz a mulher de Empregada e nem serva. É ser sempre irreativo aos problemas da vida, é ser sincero e ter assertividade mesmo contrariando ela, ser escasso, não aceitar todos os pedidos dela, não está presente quando se deve cuidar de si e quando ela não for recíproca as investidas (a atenção romântica dada), não correr atrás !",0
Me finjo de pobre desde que eu nasci 🤣🤣🤣🤣,0
"O rapaz do vídeo parece estar incomodado, na verdade isso é muito bom, bom mesmo, já são mulheres que tem uma visão e relação depreciativa com os homens, elas se abstendo de relacionamentos está ajudando esses mesmos homens, seria extremamente positivo se os homens boicotem as redes sociais e serviços de conteúdo adulto dessas digníssimas.",1
As feminazi's não criticam esses conteúdos 🧐,1
EXCELENTE PAI!!....E SE NÃO APRENDER VAI ENTRAR NA BICUDA!!! ¬¬,1
"Você só pode tá viajando. A régua delas só baixam quando estão velhas,cansadas, endividadas,traumatizadas e às vezes com filho, aí sim ""talvez"" o solteiro vai ter chances,mas vai pegar o resto.",1
Imagino minha mãe tias vó e outras mulheres de valor vendo um negócio desses. Os homens que trazem a maioria dessas rodadas pra suas vidas estão pisando em granadas sem pino constantemente.,1
"Gente dê boa, essas mulheres estão sem noção da vida 😜 eu sou cara nem 😅 pensei que fosse gp😅",1
Mulher cheia de amigos e com 500 contatos de homem no zap.  Tem otário que acha normal.  Minha ex tinha uma amiga assim. Um dia ela veio me dizer que amiga é muito comunicativa. Eu respondi: eu sei! Ela deve adorar falar no microfone dos outros. Me poupe por que eu não fui criado na Disney !  Ela até bloqueouu a tal amiga.,1
Só dá vontade de sorrir 😂😂😂😂😂😂😂😂😂😂😂😂,0
50 reais fia ???.....vc não vale uma cibalena vencida 😅😅😅😅😅😅😅😅😅😅,1
"  curioso isso que você tá dizendo que o seu primo foi vítima literalmente de um golpe feminino, e as mulheres da sua família não gostaram......então as mulheres acabam provando do próprio veneno também das outras mulheres interesseiras, e e na figura dos seus irmãos, sobrinhos ou filhos.......parece justiça poética ! kkkkkkkkkkkkkkkkkkkkkkkkkkkkk",1
ASSIM QUE DEVE AGIR UM HOMEM. A MULHER SE DEIXOU LEVAR PELAS AMIGAS? FIQUE COM ELAS. NADA DE AGRESSÃO. O PRÓPRIO TEMPO A AGREDIRÁ,1
Ai a economia bostileira vai quebrar.Os donos vão si fuder bonito e o desemprego também. Ai é queda de governo.!!kkkkkkkkk,1
😂 Maria chuteira interesseira 😮😮,1
"Pq será que o cara não  quer mais?Será  que ela tem um insta sem ft com o namorado, fts de biquíni, curtidinha de foguinho, será  que o cara pegou algo dela que ela não  sabe, alguma conversa, uma saidinha com as amigas que ele sabe que não  foi com as amigas...Bom não  sei nem quero saber, mas a biscoitagem começa com um decote e shortinho marcando...",1
Sinais. Sinais. Os pais já captaram isso.  O jovem Miquéia Crefisa está apaixonado e ignorando os alertas de perigo.,0
"Os caras olham pra mulheres assim, provavelmente conheceu ela assim, pq n acho q ela mudou a vestimenta dps do casamento, deveria ter escolhido melhor ne ? Foi se atrair por uma q se veste vulgar e pq casou acha q a pessoa vai mudar, escolham melhor ! Pra nao chegar a esse ponto.",1
"Julgou o livro pela capa😢 não é galinha, mas levou o farelo 😂😂😂💪☄️👊👊👊",1
"Dessa turma de 100 adolescentes, 50 vão cair , 30 vão mudar de fase , passar em concurso público, fazer uma faculdade  e ter uma casinha e um carrinho 10 vai ganhar bem $$, 5 serão destaques, 3 vão ser ricos, e 2 serão galáticos, estratosféricos, talvez serão até bilionários! essa é a escola da vida!",0
"As igrejas criam as mulheres como umas deusas que como se tudo der errado a culpa é SOMENTE DO HOMEM,  que são santas , muitas vem marcadas do passado promíscua, carregando e jogando isso no peito do homem de igreja, ficaram com muitos homens e mulheres, e te tratam como uma sub- espécie dela sendo que 99% das invenções , construções , criações , sistema excepcionalmente vitais são os homens que fazem e elas só recebem ou pagam pra ter oque um homem fez e acham que trabalhar e pagar pra ter faz dela tá na mente dela ser melhor que todo mundo, as igrejas pregam homem provedor , linha de frente, aí de vc falhar , de Deus, brilhante e cromado no escuro , com cargos de pastores ou de responsabilidade, se não o cara não têm respeito. Eu vi que as igrejas são máquinas de criar feministas com Bíblia debaixo do braço, e elas usam a palavra de Deus te amaldiçoando, más , coração e maus olhos e Cultura, afinal de contas: ela têm que ver qual o melhor ""macho"" que vai facilitar a vida dela e tbm aceita lá sem que ela precise mudar , como a mulher de Jó que pedia pra ele se matar amaldiçoando a Deus e vale lembrar que:  Eva a   mulher antes de cair , cobiçou a árvore do conhecimento e a promessa do diabo foi ela ter poder sobre o homem e Deus e não precisar de ninguém , fez Adão cair , fazendo amizade com o diabo e escondeu isso dele todo tempo, por amor e Eva já queria o divórcio, satanás sugeriu a Eva o feminismo e o homem deu todo seu poder pra ela que estava caída, ela não merecia e isso nem sendo boa , quem dirá caída. E  se repete com homens dando ouvidos a mulher caída com falsas acusações e fazendo leis pra elas e dando até título de eleitor onde na sua maior parte são de esquerdas ou PIORRRRRRRR ,  se comporta como feminista sem saberem que são . O mundo caiu no marianismo onde a mulher é dona da verdade mesmo sendo bandida e mentirosa, a natureza da mulher é pior e mais profana  que a do homem , mas muitos não estão preparados pra essa conversa.",1
"Senhores, depois de conhecer esse abençoado canal, a minha convicção aumentou ainda mais que entrar em relacionamento sério não vale a pena, é de fato arrumar dores de cabeça infindáveis. Mesmo assim, ainda têm pessoas do meu convívio que vivem dizendo que casar é bom, tem companhia etc. Só que, o aqui exposto é a mais pura verdade,em especial a rodagem das mulheres que estão na banca para negócio, ou seja, relacionamentos. Fica o alerta do padrinho, não se metam a salvador de honradinhas, donzelas de araqui e puritanas, caso contrário a salinha do fórum poderá ser o fim da saúde, patrimônio e sossêgo, pois serão depenados e findaram na sargeta. Deus abençoe a todos.",1
"Já assisti e recomendo fortemente! Parabéns pela excelente análise! Mas o pessoal que segue ""pessoas"" como Hime, Douglas e Afonso não vai mudar depois de assistir, primeiro pq não não entender, segundo pq não são honestos. Vão continuar repetindo as mesmas ofensas de sempre pq faz parte da natureza deles de haters.",1
"Cara, eu acho um saco esse papo de questionar o Arthur sobre Ucrânia. Ele praticou corrupção? Caçaram o cara por achar mulher bonita ou zoar com amigos situaçoes descontraidas? O cara é uma pessoa normal, uma pessoa comum, não é um robô.",0
A culpa disso são dos caras que não controlam o próprio pau,1
"Ou essa Watanabi é uma super espiã ou uma X-Man da vida real, porque não faz sentido algum essa história toda.",0
Abaixo da FIPE eu não quero 😅😅😅😅,0
"@  Não me apaixonaria (sem aspas) por um rico, ou por um pobre. Me apaixonaria por um homem que não fosse superficial. Mas é difícil para vc, que é uma pessoa superficial, entender do que eu estou falando",1
"rico é a única skill que precisa, o resto é papo de homem pobre amiguinho.",1
@  com uma que meus Deus se acha a última mulher do mundo se acha a gostosona e ela fala que homem nem um presta vive postando foto sensual nos status dela e com frases de mulher imponderada,1
"Agora o investimento dela vocês querem, né?!? rsrsrs",0
Eu só ia pega pelo pescoço e levanta ele 2 metros já fiz isso com o meu nunca mais desrespeitou ninguém.. eduquem seus filhos sem exita para que o mundo não o eduquem de uma forma lamentavel,1
"Essa  Mulher tem  espírito   capacho  ,    quer  viver  debaixo  das  patas   assassinas   de  homens  da  caverna !  Que  é   isso !!",1
"Mesma coisa acontece quando o barco começa a afundar, os ratos sao os primeiros a  fugir.",0
Você não foi o único! kkkkkkkk,0
Um trem desse nem pelada eu queria ver 😂😂😂😂😂,1
"Ela fazendo a propaganda da prostituição, só pode.....",1
Quando ela falou tiktok eu já desisti de assistir!,0
TENHO UM AMIGO QUE JA  CASOU 3 VEZES ; E OLHA QUE ELE TRABALHA NO MEIO JURÍDICO  ; MAS NAO APRENDE ! 😎,0
"Sempre deram dor de cabeça.Mas as coisas hoje em dia,tomaram proporções absurdas.",0
"STAKE, A MAIOR CASA DE APOSTAS COM CRIPTO DO MUNDO. GANHE 200% DE BÔNUS NO SEU PRIMEIRO DEPÓSITO E MAIS 2 DÓLARES: https://playstake.casino/drop?code=DropRedpill

▶ TREINAMENTO BITCOIN BLACKPILL
https://go.hotmart.com/E91436514A?dp=1",0
"Tipo isso mesmo, na hora de arcar com as responsabilidades não tem pai, na hora de encher o saco está lá o bonito cheio de direitos 😂",0
kkkkk😮😮😮😮😮😮😮😮😮😮😮😮❤❤❤❤❤❤❤❤❤❤❤aguenta coracao..bjus e amores.....,0
"Bom dia , Don , gostando de ver que apesar dos pesares o canal está crescendo",0
E num mole desse seu que o vizinho vai jantar na sua casa soldado razo.,1
Kkkkk aí fica prendada de bandido aí vai ver o aí aí ai,1
"NUNCA que eu deixaria minha sogra sentar na parte de trás, ela é uma mulher mais de idade e merece respeito.",0
"Os homens atuais foram criados no sistema femin*sta por isso os homens atuais são tão gado e dependentes física,emocionalmente e,psicológicamente.",1
É isso mesmo.  Os homens precisam ter discernimento para identificar a rixosa e a sábia. Eis a questão.,1
"Mas uma mulher chamar o cara de viado nao pode ser considerado homofobia? Afinal o cara pode se declarar viado mesmo, e se considerar ofendido pela mocréia.E agora?",1
Exatamente isso . Homem que assume filho de outro homem é um verdadeiro trouxa .,1
"Ler a Bíblia Tocar música Jogar vídeo gameJogar bolaAssistir animes, séries, filmes e etc",0
Não é caso de nós inscritos do co9pini e mesmo assim a gente se sente cansado.,0
"E igual a história fitcia , do grande bandido Clebinho. A mulher chegou no Clebinho é falou me dar o que você quer ele Deu rola nela, aí ela vou me dar o que quero ele deu cartão de crédito, aí ela falou me dá o que mereço ele deu um tiro",1
Da mesma turma queremos emagrecer comendo brigadeiro 😅,1
"kkk... as ""espertas"" são as mais fáceis ... kkkk",1
Imagina ser uma mulher adulta e em uma surto de birra punir seu marido pq ele n deu oq vc queria,1
"Rapaz, tu achou uma agulha num palheiro, é raríssimo um a mulher agradecer genuinamente o que um homem faz por ela, inclusive tem quem diga que elas não tem esse senso de gratidão que o homem tem, de ser grato e lembrar pra sempre de alguém que fez algo por ele.",1
A única parte ruim do vídeo é que ele acaba.,0
"Isso msm , eles não merecem sua amizade amém  !",0
"Muitas barangas também fazem ""doce"" para os homens. Vamos ficar o mais longe possível dessas serpentes.",1
"Para mim houve um reset. Algo relacionado ao ciclo solar, o que nos afeta 100%.Corona solar...",0
"A MULHER É CAMALEOA, O AMBIENTE REGULA SEUS PASSOS . A ATITUDE DA ESPOSA DO EX DITADOR NÃO É NENHUMA NOVIDADE. NÃO ESPERE NADA DIFERENTE DELAS.",1
@  KKKKKKKKKKKKKKKKKKKKKKKKKKKKKK!,0
"Se uma mulher ficar com você na pobreza, ela merece tá com você na boneca .",0
Que ter direitos vão  trabalhar na carvoeira ou no garimpo  ou melhor  vai abrir uma cisterna uma fossa ai sim 👍,0
"E ainda vem com o papinho de que se ""descontrolou""",0
Maravilhosa sua resposta vc e uma mulher de verdade parabéns vc e uma deusa,0
"O estado é ladrão, ineficiente, inútil e desnecessário. O estado não produz nada e so atrapalha a vida das pessoas.",1
Eu pensei a mesma coisa kkkkkkkkkkkk,0
"Kkkkkkk ,resumindo tudo essa conversa fiada dela , os  ciquentões , já estão financeiramente estabilizados ,consegue bancar todos os caprichos de meninas novas. Kkkkkkk.",1
onde encontrar essa mulher? Em Marte?,0
Pelo menos ta investindo em ti Em estudo pagando INSS Tem várias aí que não pensam nisso.Seu futuro está garantido bom fazer uma poupança também,0
"*Segundo o Hindiano (Duarte, a vida é um Xadrez), ele fez varias críticas (sensatas) justíssimas a Filosofia Red Pill 💊!!!*Mas a culpa da existência de um cara como o Alessandro Loiola, é dos paspalhos do Jr Master e do Miguel, que são incapazes de refutar este tipo de pessoas!!!Difícil não é! Eu consigo!!",1
Devia ser proibido esse tipo de comentário no YouTube,0
"Eu vivi isso mas agora acho que tenho que trabalhar ,criei meus filhos  e minha familia e a família do meu marido sempre mim  perturbava ,ficavam incomodados por eu cuidar dos meus filhos  quando eu mim casei eu deixei de trabalhar todas as vezes que nascia um dos filhos pois não queria deixar meu bebê  com estranho ele não pediu pra nascer o melhor é que com todas as culpas e dificuldades valeu a pena o pouco que deixei meu filho na escola  pequenino eu arrependiAgora que eles cresceram eu vou mim ocupar  com outras coisas pous eles são prioridades pra mim",0
"rapaz.............um ser do caralho desse, abre a porra do biko e late que quer salvar o planeta  !!!!   o jegue nao sabe pegar um estupido onibus  !!!!!   mas quer salvar o planeta   !!!!",1
@  devemos pensar diferente e impor a religião cristã pq somos maioria desde q mundo existe… quem não se adapta q mude,1
Disse ele que está namorando 🤣,0
"  só parar de ver esse canal, simples",0
"""Ai miqueinha, tu pegou a ficha 1058, que azar, mas se tu quiser eu te deixo ceder teus ouvidos para eu te contar das 1057 salsichas que peguei""",1
"Continue votando no PT meu amigo, eles governam para os pobres!",0
Qualquer idade? Conheço um que mora no orfanato que topa. Tá doido atrás de um compromisso sério com uma mãe. 😅😅😅😅😅,0
"Tranqueira ,vulgar e sem graça",1
$$ deve que era um dragão kkkkk uma Andresa Urach duvido q ele fazia corpo mole só se não gosta kkkk,1
Muçulmano não acredita que Jesus foi crucificado e que é filho de Deus. Não estão no caminho certo de jeito nenhum,1
"Fui criado pela minha mãe com muito amor, carinho, afeto, atenção e tudo que ela tinha e podia me oferecer. Hoje estou com 21 anos  tenho o privilégio de poder conversar sobre tudo com minha mãe, ela  me ensinou a lavar , a cozinhar, a fazer as compras na feira e supermercado ( a pechinchar), me ensinou até como armazenar tudo na geladeira para durar bastante e não estragar. Quando precisei sair do interior pra morar sozinho na capital pois tinha que estudar ( fiz um curso técnico e estudo engenharia), não senti dificulades na questão doméstica. Senti saudade e muita da minha mãe, das conversas e de todo aquele ambiente saudável, amoroso e produtivo em que vivia com ela.Mas o tempo vai passando e a gente se adapta. Mas acredito que amor seja na infância, adolescência e na fase adulta nunca é demais. É isso.",0
"Verdade. Imagina se ela engravida. O que a moça esquece ai que normalmente acontece nessa idade se ela engravidar, o cara vai comprar cigarro e não vai voltar mais. A bomba vai estourar na mão de quem? Do pai e da mãe. Como a pessoa não trabalha, quem ainda vai sustentar o neto são os avos. Eles não tão errados de que não quererem o namorado da filha na casa deles. Ta querendo mais direitos, trabalha por isso.",0
Se Enéas estivesse vivo ele daria  -30 de QI pra esse entrevistador.. oh cara íngua.. Rubão pode cobrar a aula!,1
"As respostas é de acordo com oque acontece diariamente,as mulheres sempre são abandonada por muito menos , simplesmente por outra mais bonita ou mais fácil",0
Cada um considera o que seria tradição,0
Que todas as queridas saibam que eu tenho esse mesmo sentimento lindo por elas em dobro. 🎉😊,0
"Isso q é exemplo de educação!🎉 parabéns! Sera 1 adulta responsavel, por isso o dizer ""quem ama, educa""🎉",0
Sintomas algumas mães que estão fazendo isso também,0
Vai lá reclama tem uma multidão de homens querendo uma mulher assim,0
"Eu conheci a black Pill através de um canal, dentro da comunidade.",0
"Não se preocupe, tem muitas mulheres que gostam de fazer caridade no trabalho distribuindo a pepeka pros homens nas empresas, principalmente se o cara for o proprietário ou gerente. CONFIA MIQUEINHA NA SUA HONRRADINHA!!!  Não se preocupe, ela deve estar jogando sinuca, acariciando com a mão e com a boca as bolas e o taco. 🤮💩🤬👿🤡Namoro, casamento e filhos não servem pra nada na vida de um homem pois é só despesa financeira e muita dor de cabeça pro homem ter mulher dentro de casa. Eu por exemplo, só me relaciono com garotas de programa pois gastamos menos e nos divertimos mais nesta vida. Lembrem-se que mulher não gosta de homem, elas gostam é de dinheiro. E além do mais, a maioria esmagadora das mulheres são feministas, narcisistas, tóxicas e abusivas e ainda pregam o ódio contra nós homens dizendo que não prestamos, temos que morrer e desaparecer da face da terra. HOMENS, não se iludam com essas mulheres/feministas, narcisistas, tóxicas e abusivas atualmente, pois se você quiser ter sérios e graves problemas na sua vida, passar por situações idênticas e muito piores a que outros homens estão passando ou já passaram, se tornar refém, ter a sua vida transformada num caos, num calvário, num inferno, perder a sua paz, a sua sanidade mental, a sua tranquilidade, a sua qualidade de vida, sua saúde, suas forças, suas ótimas noites de sono, seu bem-estar, sua alegria de viver, seu sossego, a sua liberdade, seu dinheiro/patrimônio, sofrer falsas acusações e ainda poder ser preso. É muito fácil: seja mais um a cair no golpe do namoro firme, do ficar noivo, do morar juntos e do casamento. Não tem erro, a sua vida nunca mais será a mesma. Assim, além de sofrer horrores, você descobrirá pela dor o quanto ser um homem solteiro convicto é uma dádiva, é maravilhoso e é acima de tudo a suprema felicidade. A vida é feita de escolhas. Então, faça as suas!!! REDPILL AND MGTOW FOREVER.",1
E você vá se vestir igual uma mulher de Respeito.,1
@  Mas as pessoas conseguiram pegar ele? So por curiosidade,0
Parabéns  aos dois o patrão que foi solidario e o empregado que cuidou dz fazenda como se fosse dele.Aí vem a vitória.Deus te dá a oportunidade e vc.faz a sua parte para ter a vitória.,0
"@  Se pegou chifre já era amigo, n da pra voltar no passado e desfazer! Pode acontecer com qualquer um, rico, pobre, homem, mulher. Se pegou chifre separa ora mais! Quer o q? Matar? Se matar vai pra cadeia, indenização? Se chifre desse indenização  todo mundo no planeta ia ter dinheiro pra receber.",0
Seu o filho é seu cuide não deixa de um lado pro outro esses praga tão por tão lado 😢😢😢😢😢 por mim castrava,1
"Tem muita gente desocupada mesmo e ainda por cima preconceituosa! Queria ver essas madame aqui nas zoropa lavando privada ou fazendo entregas e sendo respeitada, pq aqui o trabalho braçal é respeitado! E quem sabe essas pessoas se curariam desse preconceito social abismal que existe no Brasil!",0
Vc é  uma das poucas  quê  em casa porque  a maioria das mulheres trabalham  fora também,0
A Sementinha do mal agindo na cabeça de uma piriguete contumaz...,1
