id_comentario_anonimizado,comentario,final_misoginia,final_toxicidade
comentario_536251,Isso mesmo e a primeira coisa que a princesa da Disney corta no relacionamento e o bife 🥩,1,0
comentario_2571636,"Que relacionamento de mãe e filha é esse????? Vou ali vomitar e já volto.🤢🤮Peloamordedeus!!! Aí reclama que filho/a não respeita!?!?!?!?Tenho 1 filha de 20 anos, jamais falei com ela assim. Respeito sua individualidade e ela a minha. Somos mãe e filha, com muito amor, mas muito respeito também.",0,1
comentario_1268312,Mulher casada não tem de estar se agarrando com outro homem mesmo caso o homem casado,1,0
comentario_2335171,BOA NOITE PARABENS COLIDER MT ABRACOS  e BEIJOS ❤❤❤,0,0
comentario_1583300,"VERDADE CRIA JUIZO PAIZÃO,  METE MARCHA",0,0
comentario_1781818,Casadas que querem todos os direitos mas querem ter vida de solteira e privada viva a hipocrisia,1,1
comentario_1142513,Aposto que o sonho do filho é que os pais voltem a ficar juntos e felizes.,0,0
comentario_816338,Pegou uma foto da dona Joselma que não favorece muito  kkkk porque tem ela na fotoRodou com pneu murcho,0,1
comentario_479157,A gente num tem um dia de paz no gigante 😅,0,0
comentario_2074455,"Irmão, eu não entendo porque as pessoas acham chocante pessoas do mundo do entretenimento que estão num relacionamento, traírem. Esperam o que?? As pessoas desse meio tem acesso a tudo e todos. Quando se tem poder, se usa. Pode ser músico, digital influencer, youtuber, artista, atleta, já é de se esperar. Segundo ponto: no mundo não existe justiça e nem lógica, e pra você que acredita em Deus, Deus também não tem sentido nenhum. Ele faz um cara de 1,90, branco, olho azul, cabelo dourado liso, forte e ao mesmo tempo um cara deficiente feio e fala que os dois são iguais. Acostume-se que o mundo tem sua base como a lei da selva. Se todos os nossos suprimentos e recursos acabarem, nos tornaremos assassinos, estupradores, ladrões em questao de dias. E não se importem com a moral, ela nunca existiu. É apenas o próprio ser humano",0,1
comentario_109577,Imagina voce entra em um relacionamento  e digníssima larga essa pedrada eu terminaria na hora,0,0
comentario_572787,"O que você falou a respeito dele não fazer esforço faz todo o sentido.Mas a parte do ""espalhar odio"" você tá parecendo um papagaio de pirata. Você simplesmente fala a frase por falar sem sentido nenhum. É tipo você repetir uma palavra por mais de 8 vezes e ela perde o significado.",0,1
comentario_878808,problema é ser besta pra homem. Ainda bem que sou vacinada!,0,0
comentario_1031395,Concordo plenamente...sem noção,0,0
comentario_1361913,"Esquerdistas como o Álvaro, defendem o indefensável. Não tem argumentos, só sabem rotular e tentar cancelar os outros. Quando em um debate organizado, saem “cagados e se arrastando”.",0,1
comentario_1788531,O judiciário é canalha e ñ se preocupa com a justiça.,0,1
comentario_2090790,"Eu tenho cartão nubank 😢😢😂 mas não só, tem outros..",0,0
comentario_1170695,"@  Não sei onde você mora, mas aqui no Rio tem gata da Zona Sul, de Ipanema, Leblon, subindo o morro pra dar pros caras, principalmente quando tem baile, muitas são lindas sim, com uma beleza acima da média.",1,0
comentario_3032836,Hoje em dia inventaram um monte de nomes diferentes para prostituta.,1,0
comentario_2258318,"Venha me conhecer minha filha. Duvido que não exista homem solteiro de verdade, nada de pedreiro aqui.",0,0
comentario_2153275,"Professor ""Xavier Videos"", felizmente não é cadeirante, mas tá tentando aleijar muitos humanos comuns, tentando criar através da mistura genética de muitas guerreiras dar  vida aos mutantes! 😂😂😂",0,1
comentario_727567,"Para mim a red me acordou, agora vejo a realidade mais claramente, hoje foco principal, eu mesmo, tanto fisico, mental e financeiro... relacionamentos só gastos por migalhas, ""a laranja não está valendo a espremida"". acordem!!",0,1
comentario_2108997,Conselho super  saudável!!!  kkkkkkkkkkkkkkkkkkkkkkkkkkkk  imagina os psicólogos  olhando isso!,0,0
comentario_450144,"a espctro ficou cortando a outra mulher todo hora,isso sim e falta de respeito.",0,0
comentario_849299,"Evangélicos você quis dizer né ??Crente é todo aquele que crê sendo assim,não precisa ser frequentador de igrejas pra se crer em algo.",0,0
comentario_617003,Eu só ia pega pelo pescoço e levanta ele 2 metros já fiz isso com o meu nunca mais desrespeitou ninguém.. eduquem seus filhos sem exita para que o mundo não o eduquem de uma forma lamentavel,0,1
comentario_2185378,Esse maluco não tem moral para fala ele mesmo usufruiu da imagem sexual da filha,0,1
comentario_2994848,"Para mim houve um reset. Algo relacionado ao ciclo solar, o que nos afeta 100%.Corona solar...",0,0
comentario_2560676,As GP não pedem Pix p cabelo ou p nada só a do frete msm e coisa boa sem muita conversa 😅,1,1
comentario_151827,Ainda bem porque eu não consigo me acostumar com maquiagem,0,0
comentario_233659,Não seria melhor ir para o onlyfans ?,0,0
comentario_1722460,"Está certíssima ela! Esses namoros não duram nada! E aí ela fica com fotos com cara que sabe-se lá que apito toca! DEPOIS se casa com outro e os filhos ficam vendo à mãe com outro nas redes sociais! Até com marido é arriscado, se preservem mulheres! Vc pode estar entrando em empresa falida!🤔🫣🙈",1,1
comentario_1653983,Finalmente uma mulher que me entende! Prefiro uma mulher que me respeita do que uma que me ama.,1,0
comentario_1412233,"O rapaz do vídeo parece estar incomodado, na verdade isso é muito bom, bom mesmo, já são mulheres que tem uma visão e relação depreciativa com os homens, elas se abstendo de relacionamentos está ajudando esses mesmos homens, seria extremamente positivo se os homens boicotem as redes sociais e serviços de conteúdo adulto dessas digníssimas.",1,1
comentario_1902907,Todo castigo para mangina é pouco !,0,1
comentario_1307501,Eles estão com as mulheres que eles querem ou que conseguiram?,0,0
comentario_62821,"Hoje com 25 anos após anos e anos sem ver um video sobre esses temas hoje, me fez parar e prestar mais atenção sobre um video assim..",0,0
comentario_1569964,"As respostas é de acordo com oque acontece diariamente,as mulheres sempre são abandonada por muito menos , simplesmente por outra mais bonita ou mais fácil",0,0
comentario_2498526,eu.fiquei com meu esposo att falecer março agora fez 6 anos.ele n era rico mas nossa uniào for por DEUS.E NÃO POR INTERESSE.,0,0
comentario_661971,Qual o motivo da geração Z balançar a cabeça dessa forma enquanto fala ?,0,0
comentario_424066,"Eu fico de olho o tempo inteiro tmb, moro em prédio e qnd desço com minha filha, tem um menino que sempre chama ela pra ir pra dentro da brinquedoteca e fala pra mim deixa que eu cuido dela, é mole 😅 dai eu falo vamos la eu vou junto com vcs e ele sempre desiste... pra mim tem alguma.",0,0
comentario_890528,"Não, Don Sandro, eu sou faixa preta de Jiu-jitsu e Red Pill, não generalize, gosto muito dos seus conteúdos e sei que o feminismo está nos prejudicando, grande abraço, continue com o canal para alertar o máximo possível de homens a não serem feitos de bobos pelas dignissimas",1,1
