id_video_anonimizado,text,categoria de toxicidade,toxicidade,categoria de misoginia,misoginia,certeza
video_2896,"A mãe deste homem avisou #homem #homens #homemdevalor #homemmoderno #motivação 💔 **A Farsa que Te Venderam sobre o Amor e Você Acreditou** 💔Neste episódio do nosso podcast, vamos desmistificar os mitos e as ilusões que cercam o amor romântico que muitos homens acreditam. Vamos explorar as mensagens enganosas da mídia, da cultura e até mesmo de relacionamentos anteriores que podem ter moldado uma visão distorcida do amor.Discutiremos como esses ideais podem levar à desilusão e à frustração, e como encontrar uma perspectiva mais realista e saudável sobre o amor. Prepare-se para reflexões que podem transformar sua visão e suas experiências amorosas!✨ **Não se esqueça de curtir, compartilhar e se inscrever para mais conteúdos sobre relacionamentos e autoconhecimento!** ✨### Hashtags:#Amor #Desmistificando #Relacionamentos #MitosDoAmor #SaúdeEmocional #Autoconhecimento #Podcast #Reflexões Se precisar de mais alguma coisa, é só avisar!",0,0,0,0,1
video_7498,"MULHER QUESTIONANDO A NECESSIDADE DA RED! Olá! seja bem vindo a mais um vídeo do canal, hoje vamos falar, sobre MULHER QUESTIONANDO A NECESSIDADE DA RED!. não se esqueça de se inscrever no canal e deixar o like  além disso ative o sininho de notificações para não perder nenhum vídeo. vamos começar;",0,0,0,0,1
video_16590,"Por Que Alguns Homens Preferem as Profissionais do Sexo? A decisão de alguns homens optarem por profissionais do sexo pode ser influenciada por vários fatores, como a busca por experiências sem compromisso, a curiosidade, ou até mesmo o desejo de evitar as complexidades emocionais associadas a um relacionamento tradicional. Cada pessoa tem suas próprias motivações, e a escolha pode refletir uma série de necessidades pessoais e emocionais. É importante, no entanto, que cada interação seja baseada em respeito e consensualidade. #Relacionamento #Comportamento #Masculinidade #FabrícioAcunha #Sexualidade",0,0,0,0,0
video_10883,Você quer ser avó? | Thiago Schutz #shorts #relacionamento #responsabilidade #reflexão #amor #avó,0,0,0,0,1
video_8380,VOCÊ NÃO PRECISA DE UMA MULHER (você apenas quer) Clique no link e me siga no novo Instagram  :https://www.instagram.com/sedutorafro22TENHA A MULHER QUE QUISER AUMENTANDO SEU VSM:https://sedutorafro.com.br/aulaodevsm-v2-yt/,1.3,1,2.1,1,0
video_5320,"PACOTE ANTIFEMINCÍDIO DETERMINA QUE A VIDA DA MULHER VALE MAIS QUE A DO HOMEMI! ASSISTAM ATÉ O FINAL A segregação entre homens e mulheres é o ""apartheid"" do século XXI. Uma segregação aceita e louvada. Nenhuma outra será aceita. Tivemos segregações no passado que foram eliminadas, mas a mesma sociedade que se diz ""antidiscriminação"" é a que está mostrando, ao vivo e a cores, que as mulheres estão acima dos homens.Eu avisei sobre o poder do feminismo e sua infiltração. Através de grupos de pressão, essa ideologia vingativa influencia todas as esferas da sociedade.O feminismo se tornou tão hegemônico que um projeto que deixa explícito que a vida da mulher vale mais que a do homem não causa repercussão nenhuma entre as pessoas de poder.Até agora não encontrei nenhuma manifestação de políticos de ""direita"", conservadores 2.0., antifeministas de fachada, ninguém se manifestou. São todos um bando de frouxos conversadores de podcasts. O que eles sabem é xingar os que realmente falam a realidade. E ainda acham que merecem ser respondidos.https://www12.senado.leg.br/noticias/materias/2023/11/22/pacote-antifeminicidio-e-aprovado-na-ccj#relacionamento #casamento",3.2,1,2.1,1,1
video_8096,"Por Que as Mulh3r3s Rejeitam Homens Baixos?  ** EXPLICADO ** Em um Vídeo Seja membro deste canal e ganhe benefícios:https://www.youtube.com/channel/UC2mYg5TZ092oVhh66-9AYUA/joinQual Sua Atratividade Facial De 1-10? Obtenha Sua Analise 🔍😊👤💡📏https://abre.ai/iX8DAdiquira o Ebook ""Guia De Looksmaxxing De 10 Etapas""  👔✨📚📝👩‍🎨👨‍🎨📖https://abre.ai/iX8EAdiquira o Ebook "" Looksmaxxing De Maneira Errada"" GRATIS""   👔✨📚📝👩‍🎨https://abre.ai/iX8HMe Siga No Instagram  👣👉📸😊https://urlgeni.us/instagram/N0KqWMe Siga No TikTok  👣👉🎵😊https://urlgeni.us/tiktok/xcIwWMe Siga No Face 👣👉📘😊https://urlgeni.us/facebook/HEnL",1.3,1,2.1,1,1
video_10968,“São pessoas que se não são fracassadas estão a caminho do fracasso” 🍷🗿 Antiotario🔱 - Código Masculino🚩 - Red Flags🔞 - Antiporn*🧘 - Lições Perpétuas🔐 - Entrada no Grupo PrivadoEsse é apenas o começo! 📚🗿👇🔗 | https://hotm.art/ComboManual,0,0,0,0,1
video_4568,Assim ela se DERRETE meu amigo 😱🔥🔥,0,0,0,0,1
video_2740,"Olha a carinha dela #hackeandoamatrix Hoje no hackeando a matrix tem os motivos que podem ter levado ao fim do casamento de Rogério Vilela, ele declarou que sempre se sentiu como se fosse a mulher da relação, por gostar mais de conversar     ⭐Seja membro para ter acesso a vídeos exclusívos por apenas $2,99 🤏     https://www.youtube.com/channel/UCDrGZXd8k06ifz0-gccIn0w/join#hackeandoamatrix #morenotatuado #homemdealtovalor-----------------------------------------------------------------------------------------------------------Esse é um canal de opinião, onde analiso dinâmicas sociais entre homens e mulheres do ponto de vista de um homem.Meu compromisso é dar minha contribuição sincera e respeitosa sobre assuntos da atualidade que interessam ao homem de alto valor.Quando o homem começa a seguir o próprio caminho aprende que precisa se manter bem informado.💊DEIXE O LIKE!                       💊SE INSCREVA!             👉Compartilhe esse vídeo com alguém que vc gosta:ESSE FOI O MOTIVO DO DIVÓRCIO - Vilela Confessa Que Ele Era a Mulher Da Relaçãohttps://youtu.be/I8R72KY-NSY",1.1,1,3.2,1,1
video_4843,"Batalha espiritual durante o noivado 1- Adquira o Antiotário 📕2- Domine as lições do nosso livro 3- Faça parte do nosso grupo privado.➡️ https://manualantiotario.com/AntiOtário, livro de desenvolvimento pessoal mais vendido do país. 🫡",0,0,0,0,1
video_15725,RED FLAGS! #memes #humor #amelhorredpillvemdelas #comedia seja bem vindo a mais um vídeo do canal Não se esqueça inscrever no CANAL e deixar o like  além disso ative o sininho de notificações para não perder nenhum vídeo.RED FLAGS!,0,0,0,0,1
video_17743,"Homem provedor • Pietra Bertolazzi | Papo Milgrau Transforme sua mente e inspire-se diariamente! Inscreva-se no The Red Pill para reflexões profundas, motivação e sabedoria que vão mudar sua vida.➥ Método Youtuber Milionário 💸 https://go.hotmart.com/R94269713VMais um produto em parceria com Peter Jordan (Ei Nerd!), onde você irá aprender ainda mais formas de ganhar dinheiro com seu canal do Youtube.➥ Redes Sociais ✂:📲  Instagram: https://www.instagram.com/the_redpill1📲  TikTok: https://www.tiktok.com/ 📲  Youtube: https://www.youtube.com/ ➥ Compartilhe este vídeo:https://youtu.be/OD1AmAUHrIw➥ Se inscreva no canalhttps://www.youtube.com/ ?sub_confirmation=1📌 Créditos:🎙 PIETRA BERTOLAZZI - Características IDEAIS de HOMEM e MULHER pra se RELACIONAR | PAPO MILGRAU #123➜ https://youtu.be/rJATnu-ISEAThe Red PillCortes podcastPodcast motivacionaisPodcast sobre relacionamentoHomem provedor • Pietra Bertolazzi | Papo Milgrau#pietrabertolazzi #papomilgraupodcast",0,0,0,0,1
video_12894,ISSO É UM HOMEM MACHO ALPHA. APRENDA COMO SER UM,0,0,3.2,1,0
video_6633,Elas são interesseiras? | Thiago Schutz #shorts #relacionamento #responsabilidade #reflexão #amor,0,0,2.1,1,0
video_16343,qUAL A VERDADEIRA RAZAO PELA QUAL OS HOMENS SUPERAM AS MULHERES NA SEDUÇÃO,0,0,3.2,1,0
video_16588,"MULHER DIZ QUE É INTERESSEIRA DE AFETO! CONFIA MIQUEINHA! Olá! seja bem vindo a mais um video do canal, hoje vamos falar, sobre o MULHER DIZ QUE É INTERESSEIRA DE AFETO! CONFIA MIQUEINHA! não se esqueça de se inscrever no canal e deixar o like  além disso ative o sininho de notificações para não perder nenhum video. vamos começar;",0,0,0,0,1
video_4027,"A gente busca Deus acima de tudo 1- Adquira o Antiotário 📕2- Domine as lições do nosso livro 3- Faça parte do nosso grupo privado.➡️ https://manualantiotario.com/AntiOtário, livro de desenvolvimento pessoal mais vendido do país. 🫡",0,0,0,0,1
video_11871,"Você cuida de você? #relacionamentoamoroso #relacionamento #cuidar #cuidado #amor #amorproprio ✅Você cuida de você?Neste vídeo eu vou te perguntar: Você cuida de você?Muitas mulheres buscam da conta de tudo e acabam se esquecendo do mais importante,  própria. Muitas mulheres vivem no automático esquecendo de ser feliz e de tirar um pouco de tempo para si mesma.Você merece ser feliz e viver um relacionamento de valor mas primeiro você deve olhar para dentro de você e se amar e se valorizar de verdade.🔴GUIA DA MULHER AUTOCONFIANTE🔴https://karinefloriana.com.br/💎Comunidade Mulher Autoconfiante-Receba dicas no Telegramhttps://t.me/+gvhTCF_GHEA2Y2Qx🔴E-BOOK: GUIA PRÁTICO PARA AUMENTAR O AMOR-PRÓPRIO E MELHORAR A AUTOESTIMAhttps://pay.kiwify.com.br/SIiljFS🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🔴Compartilhe esse vídeo : ➤Você cuida de você?https://youtube.com/shorts/moIWDPiyHro🚨Videos que também podem te ajudar🚨➤Por que os homens esfriam ou se afastam de você? Aula 1https://youtu.be/_qNB7lmWWp0➤Por que os homens esfriam ou se afastam de você? Aula 2https://youtu.be/zzT6vXgU8V0➤COMO ME PREPARAR PARA AMAR E SER AMADAhttps://youtu.be/Vj_y7N2BCQk➤COMO SER FELIZ NO AMOR? PARTE 1https://youtu.be/KNv-l5899KU➤COMO FAZER O HOMEM SE APAIXONAR POR VOCÊ.  AULA 1/ A MENTE MASCULINA.https://youtu.be/8EnP_mLQeSc➤COMO FAZER O HOMEM SE APAIXONAR POR VOCÊ. AULA 2/ OS MAIORES ERROS QUE AS MULHERES COMETEMhttps://youtu.be/8EnP_mLQeSc➤COMO FAZER O HOMEM SE APAIXONAR POR VOCÊ .AULA 3 -DANÇA DA DUALIDADE FEMININAhttps://youtu.be/I7mwxZBNIdM➤COMO FAZER O HOMEM SE APAIXONAR POR VOCÊ. AULA -4 AÇÃOhttps://youtu.be/diEfQEneFMc===========================================================🔴 #relacionamentoamoroso #relacionamentoamoroso #amor #valor #conquistaramor #mulherbonita #comoconquistarumhomem #valorizada #amor #amar #valor #amada 🔻Me Encontre nas Redes Sociais🔻📸Instagram➤https://www.instagram.com/karinefloriana/📸Tiktok➤http://www.tiktok.com/ 🎬YouTube➤https://www.youtube.com/ 📸Linkedin➤www.linkedin.com/in/karinefloriana📸KWAI➤ https://kwai-video.com/u/ /n8XhvCfK",0,0,3.2,1,1
video_17622,MULHER ATACANDO A RED! CORRAM PARA AS COLINAS MEUS QUERIDO! VÃO SER MÃE DE PETS! seja bem vindo a mais um vídeo do canal Não se esqueça inscrever no CANAL e deixar o like  além disso ative o sininho de notificações para não perder nenhum vídeo.MULHER ATACANDO A RED! CORRAM PARA AS COLINAS MEUS QUERIDO! VÃO SER MÃE DE PETS!,1.3,1,2.1,1,1
video_386,"“Sou raparig4 de hom3m casado, vou mostrar minha rotina pra vocês” #redpill #antiotário #rafaelaires ",1.3,1,2.1,1,1
video_10245,A abundância do chad #homem #homens #homemdevalor #homemmoderno #motivação #,0,0,0,0,1
video_11781,"Minha rotina como homem do lar 1- Adquira o Antiotário 📕2- Domine as lições do nosso livro 3- Faça parte do nosso grupo privado.➡️ https://manualantiotario.com/AntiOtário, livro de desenvolvimento pessoal mais vendido do país. 🫡",0,0,0,0,1
video_10173,"COMO APRENDER A SER AMADA E VALORIZADA POR UM HOMEM RAPIDAMENTE ✅Quer DESTRAVAR a sua vida afetiva definitivamente?👇LINK: https://pay.kiwify.com.br/hEskh2i✅GUIA DA MULHER AUTOCONFIANTEhttps://karinefloriana.com.br/✅E-BOOK: GUIA PRÁTICO PARA AUMENTAR O AMOR-PRÓPRIO E MELHORAR A AUTOESTIMAhttps://pay.kiwify.com.br/SIiljFS💎Comunidade Mulher Autoconfiante-Receba dicas no Telegramhttps://t.me/+gvhTCF_GHEA2Y2Qx✅COMO APRENDER A SER AMADA E VALORIZADA POR UM HOMEM RAPIDAMENTENeste vídeo eu vou te explicar como aprender a ser amada e valorizada por um homem.Muitas mulheres buscam conquistar um homem, seduzir um homem, deixar o homem apaixonado e acabam fazendo tudo errado.Se você quer aprender a atrair um homem, a ser valorizada como mulher, a ser amada, a ser uma mulher de valor, então este vídeo é para você.Aqui você também vai entender sobre valor, ser valorizada, ser amada, ter valor, receber amor e valor e como ser valorizada.🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🔴Compartilhe esse vídeo : ➤COMO APRENDER A SER AMADA E VALORIZADA POR UM HOMEM RAPIDAMENTEhttps://youtu.be/DchFUqCx9TY🚨Videos que também podem te ajudar🚨➤Por que os homens esfriam ou se afastam de você? Aula 1https://youtu.be/_qNB7lmWWp0➤Por que os homens esfriam ou se afastam de você? Aula 2https://youtu.be/zzT6vXgU8V0➤COMO ME PREPARAR PARA AMAR E SER AMADAhttps://youtu.be/Vj_y7N2BCQk➤COMO SER FELIZ NO AMOR? PARTE 1https://youtu.be/KNv-l5899KU➤COMO FAZER O HOMEM SE APAIXONAR POR VOCÊ.  AULA 1/ A MENTE MASCULINA.https://youtu.be/8EnP_mLQeSc➤COMO FAZER O HOMEM SE APAIXONAR POR VOCÊ. AULA 2/ OS MAIORES ERROS QUE AS MULHERES COMETEMhttps://youtu.be/8EnP_mLQeSc➤COMO FAZER O HOMEM SE APAIXONAR POR VOCÊ .AULA 3 -DANÇA DA DUALIDADE FEMININAhttps://youtu.be/I7mwxZBNIdM➤COMO FAZER O HOMEM SE APAIXONAR POR VOCÊ. AULA -4 AÇÃOhttps://youtu.be/diEfQEneFMc===========================================================🔴 #relacionamentoamoroso #relacionamentoamoroso #amor #valor #conquistaramor #mulherbonita #comoconquistarumhomem #valorizada #amor #amar 🔻Me Encontre nas Redes Sociais🔻📸Instagram➤https://www.instagram.com/karinefloriana/📸Tiktok➤http://www.tiktok.com/ 🎬YouTube➤https://www.youtube.com/ 📸Linkedin➤www.linkedin.com/in/karinefloriana📸KWAI➤ https://kwai-video.com/u/ /n8XhvCfK",0,0,3.2,1,1
video_7349,"ELAS EXIGEM TUDO MAS TEM POUCO A OFERECER! Olá! seja bem vindo a mais um vídeo do canal, hoje vamos falar, sobre o porquê que o homem deve malhar e treinar. não se esqueça de se inscrever no canal e deixar o like  além disso ative o sininho de notificações para não perder nenhum vídeo. vamos começar;",1.3,1,2.1,1,1
video_8806,"Hoje em dia tudo é trauma 1- Adquira o Antiotário 📕2- Domine as lições do nosso livro 3- Faça parte do nosso grupo privado.➡️ https://manualantiotario.com/AntiOtário, livro de desenvolvimento pessoal mais vendido do país. 🫡",0,0,0,0,1
video_7456,"Torne-se uma ameaça para o sistema ► TURMA DE CARNAVAL: https://matheuscopini.com/Apenas sendo um homem tradicional e seguindo seus valores, você passa a ser uma grande ameaça ao sistema.► Capital Digital: https://matheuscopini.com/campanhas/masterclass?utm_source=youtube► Estoicismo diário: https://matheuscopini.com/estoicismodiario► Newsletter: Capital Society: https://capitalsociety.substack.com/subscribe#desenvolvimentopessoal #marketingdigital #criadordeconteudo Me encontre nas outras redes► Instagram   https://www.instagram.com/copini_alphalife/► Tiktok https://www.tiktok.com/    ► Spotify https://open.spotify.com/show/4YHh4JPSMSJzcR8HxsIFfEContato:Suporte para alunos: alphalifesuporte .comEmail comercial: alphalifecopini .comWhatsapp comercial: 54 81228453",0,0,0,0,1
video_3361,A paternidade bem executada,0,0,0,0,1
video_7403,"Casamento Aberto do  Stênio Garcia #hackeandoamatrix Hoje no hackeando a matrix tem a repercussão da declaração da esposa do ator Stênio Garcia durante o podcast de Sergio Mallando, dizendo que seu casamento é aberto. Stênio agiu com surpresa a essa declaração    ⭐Seja membro para ter acesso a vídeos exclusívos por apenas $2,99 🤏     https://www.youtube.com/channel/UCDrGZXd8k06ifz0-gccIn0w/join#hackeandoamatrix #morenotatuado #homemdealtovalor-----------------------------------------------------------------------------------------------------------Esse é um canal de opinião, onde analiso dinâmicas sociais entre homens e mulheres do ponto de vista de um homem.Meu compromisso é dar minha contribuição sincera e respeitosa sobre assuntos da atualidade que interessam ao homem de alto valor.Quando o homem começa a seguir o próprio caminho aprende que precisa se manter bem informado.💊DEIXE O LIKE!                       💊SE INSCREVA!             👉Compartilhe esse vídeo com alguém que vc gosta:O Dia que Stênio Garcia Descobriu Ao Vivo Que o Casamento Dele é ABERTOhttps://youtu.be/FkXWBeMqlOA",0,0,0,0,1
