text,toxicidade_amanda,cat_toxico_amanda,misoginia_amanda,cat_misoginia_amanda,toxicidade_livia,cat_toxico_livia,misoginia_livia,cat_misoginia_livia,toxicidade_sophia,cat_toxico_sophia,misoginia_sophia,cat_misoginia_sophia
"Eu faria a mesma coisa, mais que corta o coração 😢😢. Tão linda!!!😊😊.",0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
"A questão é ainda mais complexa porque envolve também a maternidade o que está afetando visivelmente a atual geração e assim sucessivamente. Nós mulheres devemos nos voltar para o feminino sagrado, para entender qual de fato é o nosso papel dentro da sociedade e conquistar o nosso verdadeiro espaço.",0.0,0,1.0,3.4,0.0,0,1.0,3.3,0.0,0,1.0,3.3
"o descaramento é tão grande, que nem disfarça o golpe. A melhor red, sempre vem delas mesmas.",1.0,1.4,1.0,2.1,1.0,1.4,1.0,2.1,1.0,1.3,0.0,0.0
A mulher sempre acha que o homem quer fazer algo com ela ...e ela tem razão tem muito homem ruim igual ele falou nao importa a cor o que se leva em conta é a maldade...esse cara é uma boa pessoa com certeza tera alguém esperando a alma desse justo se um dia ele partir,0.0,0,0.0,0.0,1.0,1.3,1.0,3.2,1.0,3.2,1.0,1.3
kkk se der 360º volta pro mesmo lugar pow kkkkk,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
Tá mas é daí q ela é cristã? Princípios morais existem dentro e fora das crenças.,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
"O duro é ouvir essas doentes feminazis dizerem aquelas frases que homens não prestam, que são todos iguais e aquele monte de frases repetidas...Homens de verdade são assim...eu trabalho 14 horas por, trato minha esposa como um Rainha, pois ela se porta como uma..Homens assumem uma mulher a são capazes de amá la mesmo ela sendo desempregada, sem dinheiro.",1.0,1.4,1.0,2.1,1.0,1.2,1.0,3.1,1.0,1.2,1.0,3.1
"Meninos procuram meninas, Homens procuram Mulheres.",0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
"Cheguei conhecer casais idosos quando era criança, segundo os relatos deles a sociedade formada por homens e mulheres eram outro nível, como a socidade está destruída! Lamentável!!!",0.0,0,0.0,0.0,1.0,1.2,0.0,0.0,0.0,0,0.0,0.0
Meu Deus do céu q mundo é esse Jesus,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
"  tá n mn, tipo eu entendo q n precisa escrever bem no yt e pd abreviar, mas algumas coisas são obrigatórias...",0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
Ja sabia que era uma casa por causa da legenda,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
Eu acho que a maioria dos homens pensariam que os corpos deles pertencem a eles então vão reclamar,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
"A primeira a ser machucada é a esposa chifruda que só não se sentirá machucada se não amar o marido e os filhos, claro, quando descobrirem o cafajeste do pai que têm e ficarem solidários com a dor da mãe 💥",1.0,1.4,0.0,0.0,0.0,0,0.0,0.0,1.0,1.4,0.0,0.0
"O Renan só fala merda, cara. Ele até tem um conteúdo legal, fala das leis e etc, mas o cara é todo arrogante, cheio de caras e bocas. É aquela coisa, pegar o que é bom do conteúdo dele, e o resto ignorar.",1.0,1.4,0.0,0.0,1.0,1.4,0.0,0.0,1.0,1.4,0.0,0.0
A decepção do Padrinho no início do vídeo é a mesma que a minha... KKKKKKKKKKKKKKKKKKKKKKK,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
"Gostei desse episódio e da convidada, ganhou mais um inscrito nas redes!",0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
Olha a voz dessa rapariga kkkkkk,1.0,1.4,0.0,0.0,1.0,1.4,1.0,3.1,1.0,1.4,1.0,3.1
"DO FUSCA, DO CHIFRE, DA MORTE  NINGUÉM  ESCAPA; ATÉ  PORQUE  O CORNO(A) NA MAIORIA  DAS  VEZES NEM FICA SABENDO.",0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
"Só não entendi o rapaz com uma taça de vinho na mão, com essa cara sarcástica",0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
O catolicismo tá vindo com tudo,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
Não tô afim de ser canalha nem cafajeste nem galinha nem malandro nem cara mau nem psicopata por causa de mulher. Se for assim continuo sozinho mesmo. E também não quero mulher assim.,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
"A red nunca falha, a casa da dignissima em péssimas condições e falando que não quer homem liso daqui a pouco acaba o gás dela 😂😂 e vem pedir pix.",1.0,1.4,1.0,2.1,0.0,0,1.0,3.2,1.0,3.2,0.0,0.0
"Não tenho filhos mas tenho um excelente carro uma vida boa cuidando da minha saúde um dinheiro guardado e se  Deus permitir em breve estudando medicina veterinária , e aprendi com o passar do tempo que pessoas que se consideram melhores por terem filhos ou casamento ""perfeito""devem ser ignoradas pois não vão agregar em nada",0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
Engole o choro. Assuma as consequências.,1.0,1.4,0.0,0.0,0.0,0,0.0,0.0,1.0,1.4,0.0,0.0
Não precisamos de religião. Os índios viviam muito bem sem essa porcaria.,0.0,0,0.0,0.0,0.0,0,0.0,0.0,1.0,1.3,0.0,0.0
"NUNCA que eu deixaria minha sogra sentar na parte de trás, ela é uma mulher mais de idade e merece respeito.",0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
"Hoje com 25 anos após anos e anos sem ver um video sobre esses temas hoje, me fez parar e prestar mais atenção sobre um video assim..",0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
"É padrinho, é aquilo que você disse: "" nós estamos lascados ,"""" o que resta são os restos dos espólios e estar vivo e em pé, para podermos cavar as covas e enterrar os mortos dessa guerra.",0.0,0,0.0,0.0,1.0,3.1,0.0,0.0,0.0,0,0.0,0.0
Só quem trabalhou ou trabalha em um ambiente que só tem mulher sabe como funciona.Parece que vira uma chave na cabeça das fêmeas!,1.0,1.3,1.0,2.1,0.0,0,1.0,3.3,1.0,1.3,1.0,2.3
"Esses apresentadores são ruins demais, pqp",1.0,1.4,0.0,0.0,1.0,1.4,0.0,0.0,1.0,1.4,0.0,0.0
"Você só vai fazer ela feliz com seu dinheirinho...mas quem vai traça-la é outro cara, você não otário!!!😅😅",1.0,1.4,1.0,2.3,1.0,1.4,1.0,2.3,1.0,1.4,1.0,2.3
"cara, a mulherada de 17-18 aqui na escola tá tudo virada na pomba gira!😂 Elas tão distribuindo..vc nem chega elas que chegam...precisa correr atrás de Tia Neide não",1.0,1.3,1.0,2.1,1.0,1.3,1.0,2.1,1.0,1.3,1.0,2.3
"Nada, cuida da tua vida pivete",1.0,1.4,0.0,0.0,1.0,1.4,0.0,0.0,1.0,1.4,0.0,0.0
"@  Pergunte pro seus políticos. Acho que é até impressionante que eles permitam as pessoas se esterilizarem aos 21 sem ter filhos, considerando nossa crise demográfica. Se você tem entre 18 e 21 talvez você possa criar uma história e mentir que já tem 2 filhos, se não me engano eles não investigam nada.",1.0,3.2,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
"Ela não tem motivos pra mandar ele embora, mais ele tem motivo pra ir embora. Mulher louca",1.0,1.4,1.0,2.1,1.0,1.4,1.0,3.1,1.0,1.4,1.0,3.1
"Eles deveriam ser presos na hora em que abrissem o processo, mais o Brasil e formado por milhões de pessoas algumas com formação academia e. Vidas bem estruturadas e muitas com religiões diversas, mais as pessoas só criticam e xingam fazendo intrigas disso ou daquilo mais não agem temos que defender a atitude dessas empresas nos somos o Brasil temos que agir",0.0,0,0.0,0.0,1.0,1.6,0.0,0.0,1.0,1.4,0.0,0.0
50 mil é pouco. Falta ainda o boicote a esse tipinho de empresa!,0.0,0,0.0,0.0,1.0,3.1,0.0,0.0,1.0,1.4,0.0,0.0
A igreja evangélica é a maior falcatrua á face da terra 😂,1.0,1.3,0.0,0.0,1.0,1.4,0.0,0.0,1.0,3.2,0.0,0.0
"Eu faço amizade com as mães que levam filho no Parquinho uai.. 😅😅😅. Quando você gosta da conversa da pessoa, não tem nada demais. Não vi nada além de uma fofoqueira sem noção, ouvindo a conversa dos outros e ainda vindo passar vergonha no yt 😂😂",1.0,1.4,1.0,2.1,1.0,1.4,0.0,0.0,1.0,1.4,0.0,0.0
"Pela cara dele, ele estava gostando. Isso é nojento, concordo com a fala dela, a decadência da raça humana, feminismo reverso.",1.0,3.2,0.0,0.0,0.0,0,0.0,0.0,1.0,1.4,0.0,0.0
"valeu Copini, fiz varias  anotações para aplicar em um futuro próximo obrigado pelas dicas. que seu conteúdo bom chegue em mais pessoas que precisam de conhecimento",0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
"homens entendam, pra um homem com condicionamento fisico o trabakho domestico parece mais leve etc mas pra mulher nao é cara, raciocina cara, se tem filhos a coisa piora, elas n tem tanto testo ou condicionamento q tu tem.e jamais desmereça ou faça pouco do papel da mulher. ja vi cara falar como se fosse facil ou mais facil etc mas n é, n existe só cansaço fisico, tb cansaço mental meu fi e o mental tb é ruim igual, os filhos por ex podem dar um cansaço mental q...ajude e como recompensa ela estara de melhor humor",0.0,0,0.0,0.0,0.0,0,1.0,3.2,0.0,0,0.0,0.0
"Ela foi internada, e foi comprovado que ela tem problemas mentais e toma até remédios controlado.Por que vcs estão tratando como se fosse uma falta de caráter  ???? 🤷🏾‍♂️🤷🏾‍♂️🤷🏾‍♂️🤷🏾‍♂️🤷🏾‍♂️🤷🏾‍♂️🤷🏾‍♂️🤷🏾‍♂️ Doença é uma questão de caráter  ?????? Vcs que sujam a imagem da redphill.",0.0,0,0.0,0.0,1.0,1.1,0.0,0.0,1.0,3.1,0.0,0.0
"Rsss! 😂😂😂 ""Você não falou que a gente é só amigo? Moço,  atende ela aqui por favor!""",0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
Fica dando a entender que ela só vai entrar com a piriquita no relacionamento. Assim é bom D +. 😂😂,1.0,1.4,1.0,2.3,1.0,1.5,1.0,2.3,1.0,1.5,1.0,2.3
Também passei por uma situação assim 😢,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
"Os homens podem sofrer todo tipo de violência no Brasil e não tem proteção estatal , realmente não está dando pra viver no Brasil . Além da carga tributária e este socialismo que aí está tem estas leis sexistas e misândricas que não param de aprovar . É absurdo ! Este SC e Es são os estados onde fazem mais leis assim , estados feministas , realmente estou com ranso mais ainda do Brasil !",1.0,3.2,0.0,0.0,1.0,3.2,1.0,3.1,1.0,3.2,0.0,0.0
Claro  que  as  mulheres  precisam  se  cuidar   mais  quando  existe  amor e  foi  o  espírito  santo quem  colocou  o sentimento não  há   lugar pra outra mulher.,0.0,0,1.0,3.4,0.0,0,1.0,3.3,1.0,1.3,1.0,3.3
fico triste com uma noticia dessas ;),0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
"@  mas no meu caso, nem dinheiro resolve. Kkkkk mas eu estou bem.",0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
Melhor coisa: aplicar o dinheiro e pagar aluguel!,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
"Olha, sei não, um bola gato por uma pizza de 60 pila e uma carona, fazendo minhas contas e considerando o preço dos programas por aqui... olha que mando entregar a pizza pra não ter que aturar a conversa furada e me paga o bqt ali mesmo😂",1.0,4.1,1.0,2.3,1.0,1.3,1.0,2.3,1.0,1.5,1.0,2.3
"Irmão, eu não entendo porque as pessoas acham chocante pessoas do mundo do entretenimento que estão num relacionamento, traírem. Esperam o que?? As pessoas desse meio tem acesso a tudo e todos. Quando se tem poder, se usa. Pode ser músico, digital influencer, youtuber, artista, atleta, já é de se esperar. Segundo ponto: no mundo não existe justiça e nem lógica, e pra você que acredita em Deus, Deus também não tem sentido nenhum. Ele faz um cara de 1,90, branco, olho azul, cabelo dourado liso, forte e ao mesmo tempo um cara deficiente feio e fala que os dois são iguais. Acostume-se que o mundo tem sua base como a lei da selva. Se todos os nossos suprimentos e recursos acabarem, nos tornaremos assassinos, estupradores, ladrões em questao de dias. E não se importem com a moral, ela nunca existiu. É apenas o próprio ser humano",1.0,1.6,0.0,0.0,1.0,3.1,0.0,0.0,1.0,3.2,0.0,0.0
Só essa voz já embrulha o estômago,1.0,1.4,0.0,0.0,1.0,1.4,0.0,0.0,1.0,1.4,0.0,0.0
A gente precisa mesmo e de Deus,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
"Quando o cara asstir muito comedia de traição, stand de comédia que e6de ouratia e nao sabe nada de biologia kkkkNao houve contato físico kkkO cara nao tocou nela kkk",1.0,1.4,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
"O cara é bombado, é alto ( 1.96), tem dinheiro, carro bom, paga tudo pra ela e ainda assim, ela não está satisfeita com.ele?Esse mercado sexual tá mais insano do que eu imaginava.",1.0,1.4,1.0,2.1,1.0,1.4,1.0,2.1,1.0,1.5,1.0,2.3
Parecem 02 idiotas olhando o prato pelo celular.,1.0,1.4,0.0,0.0,1.0,1.4,0.0,0.0,0.0,1.4,0.0,0.0
"Reparem que o ÚNICO que se da bem nessa história é o cara que não é casado, vai lá, come o abacaxi e vaza,os trouxas que são casado só se lascam.",1.0,1.4,0.0,0.0,1.0,1.3,1.0,3.1,1.0,1.4,0.0,0.0
"Homens não estão mais chegando nas mulheres por dois motivos:  1- acusações falsas de assédio 2 - O sexo está muito fácil, portanto não vale a pena se arriscar a ser preso por falsa acusação de assédio ou ser ridicularizado por alguma madame com o ego inflado.",1.0,1.4,1.0,2.1,1.0,1.3,1.0,2.3,1.0,1.3,1.0,4.2
"Mulher tem obrigação de trabalhar, assim como o homem. Ninguém tem obrigação de sustentar ninguém.",0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
"A roupa já define e anuncia que são marmitas, toda vez que aparece mulher com essa falta de pano.",1.0,1.4,1.0,2.1,1.0,1.3,1.0,3.1,1.0,1.3,1.0,2.3
"Nossa , que conversa desnecessaria  e a mulher então !!!!!!!",0.0,0,0.0,0.0,1.0,1.4,0.0,0.0,1.0,1.4,0.0,0.0
Renatão se acaba de rir com feno Grego kkkkkk. 😂😂😂,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
"O pior de tudo mano as vezes agente dá de tudo ah uma mulher até msm sem poder só pra agradar, mas vem outro que nunca deu ah ela nem um chiclete, e ela traí o marido e ainda quer que agente perdoa ponto final Fim sem choro.",1.0,1.4,1.0,2.1,1.0,1.3,1.0,2.1,1.0,1.3,1.0,4.2
Que um Cavaleiro Branco seja o Salvador dessa Balzaca em fim de carreira.,1.0,1.4,1.0,2.1,1.0,1.4,1.0,3.1,1.0,1.4,1.0,3.1
"Nada a ver ,isso não é verdade ,quase todos os homens tá nem aí, quase todos estão assim no celular, nem tá nem aí pra mulher, nada a ver ..isso vai de caráter,",0.0,0,0.0,0.0,0.0,0,0.0,0.0,1.0,3.2,0.0,0.0
Isso quer dizer dizer quando a mulher quer traiir ninguém segura,1.0,1.3,1.0,2.1,1.0,1.3,1.0,2.1,1.0,1.3,1.0,4.2
"Quando voce estiver envelhecida, ele te troca por outra mais nova e mais bonita. Voce estara usada e ninguem vai querer, sem emprego e desvalorizada.  Hoje voce tem um preço. Mas e igual carro novo, depois de usado a gente troca por outro e o usado nao vale quase nada.Vai chorar amargamente por ter se sujeitado ao papel de rap....a e destruir um lar, sera tarde demais. Acorda e sai dessa vida, caminho para o inferno.",1.0,1.4,1.0,2.3,1.0,1.4,1.0,3.1,1.0,1.4,1.0,2.3
