model/test,macro_precision,macro_recall,macro_f1,class0precision,class0recall,class0f1,class1precision,class1recall,class1f1
LLama Few-Shot Embeddings RoBERTa (Teste 3),"0.574 (0.547, 0.601)","0.589 (0.557, 0.621)","0.416 (0.385, 0.446)","0.906 (0.864, 0.949)","0.302 (0.257, 0.347)","0.452 (0.401, 0.502)","0.242 (0.228, 0.256)","0.875 (0.807, 0.944)","0.379 (0.357, 0.401)"
LLama Few-Shot Embeddings RoBERTa (Teste 4),"0.575 (0.546, 0.605)","0.594 (0.557, 0.630)","0.427 (0.392, 0.463)","0.905 (0.860, 0.951)","0.321 (0.269, 0.374)","0.473 (0.416, 0.530)","0.245 (0.228, 0.262)","0.866 (0.789, 0.943)","0.382 (0.356, 0.408)"
LLama Few-Shot Embeddings BERTimbau (Teste 1),"0.603 (0.580, 0.626)","0.629 (0.591, 0.667)","0.450 (0.403, 0.497)","0.944 (0.917, 0.972)","0.334 (0.272, 0.395)","0.492 (0.424, 0.560)","0.262 (0.241, 0.282)","0.924 (0.890, 0.959)","0.408 (0.381, 0.434)"
LLama Few-Shot Embeddings BERTimbau (Teste 2),"0.599 (0.575, 0.624)","0.616 (0.582, 0.651)","0.427 (0.388, 0.466)","0.945 (0.910, 0.980)","0.301 (0.251, 0.350)","0.455 (0.398, 0.512)","0.254 (0.236, 0.271)","0.932 (0.888, 0.975)","0.399 (0.375, 0.423)"
LLama Few-Shot Embeddings BERTimbau (Teste 3),"0.591 (0.565, 0.617)","0.627 (0.585, 0.668)","0.477 (0.430, 0.524)","0.916 (0.885, 0.947)","0.392 (0.328, 0.456)","0.548 (0.483, 0.613)","0.266 (0.242, 0.290)","0.861 (0.814, 0.908)","0.406 (0.375, 0.437)"
LLama Few-Shot Embeddings BERTimbau (Teste 4),"0.589 (0.560, 0.618)","0.624 (0.579, 0.669)","0.477 (0.430, 0.524)","0.913 (0.877, 0.948)","0.395 (0.334, 0.455)","0.550 (0.487, 0.613)","0.265 (0.239, 0.291)","0.853 (0.804, 0.903)","0.404 (0.371, 0.438)"
LLama Few-Shot Embeddings MiniLM (Teste 1),"0.576 (0.553, 0.599)","0.595 (0.567, 0.623)","0.430 (0.401, 0.458)","0.906 (0.871, 0.941)","0.324 (0.281, 0.367)","0.477 (0.429, 0.524)","0.246 (0.232, 0.260)","0.865 (0.803, 0.927)","0.383 (0.362, 0.404)"
LLama Few-Shot Embeddings MiniLM (Teste 2),"0.583 (0.564, 0.601)","0.599 (0.583, 0.616)","0.425 (0.403, 0.447)","0.918 (0.886, 0.950)","0.311 (0.269, 0.353)","0.464 (0.420, 0.508)","0.247 (0.239, 0.255)","0.888 (0.830, 0.946)","0.387 (0.374, 0.399)"
LLama Few-Shot Embeddings MiniLM (Teste 3),"0.570 (0.545, 0.596)","0.594 (0.564, 0.625)","0.450 (0.428, 0.473)","0.892 (0.855, 0.929)","0.367 (0.324, 0.411)","0.519 (0.478, 0.561)","0.248 (0.234, 0.263)","0.821 (0.738, 0.905)","0.381 (0.356, 0.406)"
LLama Few-Shot Embeddings MiniLM (Teste 4),"0.584 (0.568, 0.599)","0.615 (0.596, 0.635)","0.468 (0.450, 0.487)","0.908 (0.886, 0.930)","0.385 (0.354, 0.416)","0.540 (0.510, 0.570)","0.259 (0.249, 0.270)","0.846 (0.799, 0.893)","0.397 (0.381, 0.413)"
LLama Few-Shot Embeddings Qwen3 - 0.6B (Teste 1),"0.588 (0.564, 0.613)","0.601 (0.576, 0.627)","0.415 (0.399, 0.432)","0.930 (0.890, 0.970)","0.291 (0.266, 0.315)","0.443 (0.415, 0.470)","0.247 (0.236, 0.257)","0.912 (0.852, 0.972)","0.388 (0.370, 0.406)"
LLama Few-Shot Embeddings Qwen3 - 0.6B (Teste 2),"0.591 (0.566, 0.616)","0.602 (0.575, 0.629)","0.411 (0.394, 0.428)","0.935 (0.896, 0.974)","0.282 (0.265, 0.299)","0.433 (0.412, 0.454)","0.246 (0.235, 0.258)","0.922 (0.871, 0.973)","0.389 (0.370, 0.407)"
LLama Few-Shot Embeddings Qwen3 - 0.6B (Teste 3),"0.582 (0.556, 0.608)","0.606 (0.574, 0.638)","0.444 (0.419, 0.470)","0.913 (0.875, 0.950)","0.343 (0.311, 0.374)","0.498 (0.463, 0.532)","0.252 (0.236, 0.268)","0.870 (0.812, 0.929)","0.391 (0.367, 0.415)"
LLama Few-Shot Embeddings Qwen3 - 0.6B (Teste 4),"0.586 (0.560, 0.611)","0.612 (0.582, 0.642)","0.452 (0.434, 0.471)","0.916 (0.878, 0.953)","0.354 (0.330, 0.378)","0.510 (0.486, 0.534)","0.255 (0.241, 0.270)","0.870 (0.807, 0.934)","0.395 (0.372, 0.418)"
LLama Few-Shot Embeddings Qwen3 - 4B (Teste 1),"0.611 (0.587, 0.636)","0.652 (0.607, 0.698)","0.491 (0.432, 0.549)","0.944 (0.922, 0.966)","0.395 (0.314, 0.477)","0.555 (0.474, 0.636)","0.278 (0.247, 0.309)","0.909 (0.874, 0.945)","0.426 (0.388, 0.463)"
LLama Few-Shot Embeddings Qwen3 - 4B (Teste 2),"0.612 (0.584, 0.641)","0.648 (0.599, 0.698)","0.476 (0.419, 0.532)","0.951 (0.921, 0.982)","0.368 (0.297, 0.439)","0.529 (0.452, 0.606)","0.273 (0.244, 0.303)","0.929 (0.889, 0.969)","0.422 (0.384, 0.460)"
LLama Few-Shot Embeddings Qwen3 - 4B (Teste 3),"0.618 (0.593, 0.643)","0.670 (0.625, 0.715)","0.520 (0.462, 0.579)","0.944 (0.921, 0.967)","0.443 (0.356, 0.529)","0.600 (0.518, 0.682)","0.292 (0.260, 0.325)","0.897 (0.847, 0.947)","0.441 (0.402, 0.479)"
LLama Few-Shot Embeddings Qwen3 - 4B (Teste 4),"0.613 (0.590, 0.636)","0.664 (0.624, 0.705)","0.521 (0.471, 0.571)","0.936 (0.916, 0.956)","0.449 (0.377, 0.521)","0.605 (0.536, 0.674)","0.290 (0.262, 0.319)","0.880 (0.841, 0.919)","0.436 (0.402, 0.470)"
LLama Few-Shot Embeddings Qwen3 - 8B (Teste 1),"0.600 (0.571, 0.629)","0.637 (0.587, 0.688)","0.481 (0.419, 0.543)","0.928 (0.901, 0.955)","0.390 (0.309, 0.471)","0.547 (0.461, 0.633)","0.271 (0.240, 0.303)","0.885 (0.857, 0.913)","0.415 (0.376, 0.454)"
LLama Few-Shot Embeddings Qwen3 - 8B (Teste 2),"0.602 (0.580, 0.623)","0.633 (0.594, 0.673)","0.465 (0.412, 0.518)","0.937 (0.916, 0.958)","0.360 (0.289, 0.431)","0.518 (0.441, 0.595)","0.266 (0.242, 0.290)","0.907 (0.879, 0.935)","0.411 (0.381, 0.441)"
LLama Few-Shot Embeddings Qwen3 - 8B (Teste 3),"0.605 (0.579, 0.632)","0.654 (0.611, 0.698)","0.516 (0.470, 0.561)","0.926 (0.901, 0.951)","0.448 (0.393, 0.504)","0.603 (0.548, 0.658)","0.285 (0.256, 0.314)","0.861 (0.821, 0.900)","0.428 (0.391, 0.465)"
LLama Few-Shot Embeddings Qwen3 - 8B (Teste 4),"0.609 (0.583, 0.635)","0.660 (0.618, 0.703)","0.522 (0.478, 0.565)","0.929 (0.905, 0.953)","0.455 (0.403, 0.507)","0.610 (0.559, 0.662)","0.289 (0.260, 0.317)","0.865 (0.826, 0.905)","0.433 (0.397, 0.469)"
BerTimbau,"0.749 (0.691, 0.806)","0.694 (0.668, 0.719)","0.713 (0.680, 0.747)","0.871 (0.861, 0.880)","0.928 (0.898, 0.957)","0.898 (0.882, 0.915)","0.627 (0.517, 0.736)","0.460 (0.422, 0.497)","0.528 (0.478, 0.579)"
RoBERTa - toxicidade - desbalanceado,"0.732 (0.693, 0.770)
","0.702 (0.673, 0.731)","0.712 (0.686, 0.738)","0.877 (0.861, 0.892)","0.907 (0.860, 0.955)","0.891 (0.872, 0.910)","0.587 (0.506, 0.668)","0.496 (0.407, 0.585)","0.533 (0.489, 0.577)"
RoBERTa - toxicidade - balanceado 50/50,"0.638 (0.600, 0.677)","0.701 (0.661, 0.740)","0.633 (0.580, 0.687)","0.904 (0.891, 0.918)","0.685 (0.603, 0.767)","0.778 (0.724, 0.832)","0.372 (0.305, 0.439)","0.716 (0.676, 0.757)","0.488 (0.433, 0.543)"
RoBERTa - toxicidade - balanceado 60/40,"0.678 (0.640, 0.715)","0.726 (0.692, 0.760)","0.690 (0.650, 0.730)","0.901 (0.886, 0.915)","0.796 (0.744, 0.849)","0.845 (0.813, 0.877)","0.455 (0.389, 0.521)","0.655 (0.602, 0.709)","0.535 (0.485, 0.586)"
TabPFN - toxicidade,"0.8501 (0.6490, 0.9025)","0.5095 (0.5045, 0.5185)","0.4635 (0.4551, 0.4817)","0.8001 (0.7980, 0.8050)","0.9994 (0.9969, 1.0000)","0.8887 (0.8864, 0.8920)","0.9000 (0.5000, 1.0000)","0.0196 (0.0122, 0.0370)","0.0382 (0.0238, 0.0714)"
Regressao Logistica Toxicidade TF-IDF (sem stop words),"0.664 (0.653, 0.675)","0.668 (0.656, 0.679)","0.664 (0.653, 0.675)","0.735 (0.719, 0.751)","0.678 (0.647, 0.709)","0.705 (0.691, 0.719)","0.594 (0.579, 0.608)","0.657 (0.618, 0.696)","0.623 (0.606, 0.641)"
Regressao Logistica Toxicidade TF-IDF (stop words padrão),"0.641 (0.629, 0.654)","0.642 (0.627, 0.657)","0.640 (0.628, 0.652)","0.708 (0.683, 0.734)","0.676 (0.625, 0.728)","0.691 (0.673, 0.709)","0.574 (0.561, 0.587)","0.608 (0.533, 0.683)","0.589 (0.557, 0.621)"
Regressao Logistica Toxicidade TF-IDF (stop words customizadas),"0.617 (0.589, 0.645)","0.614 (0.586, 0.643)","0.614 (0.586, 0.642)","0.676 (0.648, 0.704)","0.700 (0.646, 0.754)","0.687 (0.662, 0.711)","0.558 (0.522, 0.594)","0.529 (0.448, 0.609)","0.541 (0.493, 0.589)"
Regressao Logistica Toxicidade TF-IDF (sem stop words + stemming),"0.683 (0.654, 0.712)","0.685 (0.657, 0.713)","0.683 (0.655, 0.711)","0.746 (0.717, 0.774)","0.710 (0.659, 0.760)","0.727 (0.698, 0.755)","0.620 (0.581, 0.660)","0.661 (0.603, 0.719)","0.639 (0.604, 0.674)"
Regressao Logistica Toxicidade TF-IDF (stop words padrão + stemming),"0.654 (0.594, 0.713)","0.653 (0.599, 0.707)","0.652 (0.596, 0.707)","0.714 (0.674, 0.754)","0.694 (0.604, 0.784)","0.703 (0.645, 0.761)","0.593 (0.508, 0.678)","0.612 (0.549, 0.675)","0.601 (0.543, 0.659)"
Regressao Logistica Toxicidade TF-IDF (stop words customizadas + stemming),"0.638 (0.625, 0.651)","0.638 (0.622, 0.654)","0.637 (0.623, 0.651)","0.702 (0.679, 0.725)","0.685 (0.633, 0.736)","0.692 (0.674, 0.711)","0.574 (0.557, 0.591)","0.592 (0.519, 0.664)","0.581 (0.548, 0.615)"
Regressão Logística Toxicidade com entrada os embeddings do Roberta,"0.611 (0.524, 0.697)","0.584 (0.508, 0.660)","0.457 (0.294, 0.621)","0.895 (0.799, 0.990)","0.534 (0.039, 1.000)","0.584 (0.217, 0.952)","0.327 (0.130, 0.524)","0.634 (0.099, 1.000)","0.330 (0.167, 0.494)"
Regressão Logística Toxicidade com entrada os embeddings do Roberta (com ajuste de parâmetros),"0.622 (0.595, 0.650)","0.660 (0.581, 0.740)","0.525 (0.344, 0.707)","0.930 (0.896, 0.965)","0.489 (0.182, 0.796)","0.604 (0.313, 0.896)","0.314 (0.227, 0.402)","0.832 (0.678, 0.986)","0.446 (0.374, 0.518)"
Regressão Logística Toxicidade com entrada os embeddings do RoBERTa (com PCA e Otimização via GridSearch),"0.617 (0.595, 0.639)","0.658 (0.617, 0.700)","0.550 (0.432, 0.669)","0.913 (0.872, 0.955)","0.546 (0.290, 0.803)","0.661 (0.461, 0.861)","0.321 (0.243, 0.398)","0.771 (0.560, 0.981)","0.439 (0.400, 0.479)"
Regressão Logística Toxicidade com entrada os embeddings do BERTimbau,"0.717 (0.660, 0.774)","0.691 (0.616, 0.765)","0.693 (0.626, 0.759)","0.874 (0.841, 0.908)","0.895 (0.824, 0.966)","0.883 (0.857, 0.910)","0.560 (0.448, 0.672)","0.486 (0.290, 0.681)","0.502 (0.374, 0.630)"
Regressão Logística Toxicidade com entrada os embeddings do BERTimbau (com ajuste de parâmetros),"0.672 (0.615, 0.730)","0.708 (0.645, 0.770)","0.668 (0.600, 0.737)","0.898 (0.856, 0.939)","0.778 (0.626, 0.929)","0.828 (0.748, 0.908)","0.447 (0.329, 0.565)","0.638 (0.429, 0.846)","0.509 (0.422, 0.595)"
Regressão Logística Toxicidade com entrada os embeddings do BERTimbau (com PCA e Otimização via GridSearch),"0.653 (0.590, 0.715)","0.688 (0.625, 0.751)","0.614 (0.495, 0.733)","0.908 (0.870, 0.946)","0.664 (0.397, 0.930)","0.748 (0.574, 0.922)","0.398 (0.248, 0.548)","0.713 (0.477, 0.950)","0.480 (0.401, 0.560)"
Regressão Logística Toxicidade com entrada os embeddings do MiniLM,"0.461 (0.251, 0.670)","0.469 (0.364, 0.575)","0.338 (0.141, 0.535)","0.661 (0.358, 0.964)","0.423 (0.000, 0.971)","0.444 (0.000, 0.916)","0.260 (0.081, 0.438)","0.516 (0.047, 0.985)","0.233 (0.076, 0.390)"
Regressão Logística Toxicidade com entrada os embeddings do MiniLM (com ajuste de parâmetros),"0.468 (0.220, 0.717)","0.515 (0.375, 0.656)","0.322 (0.065, 0.579)","0.692 (0.275, 1.000)","0.246 (0.000, 0.678)","0.297 (0.000, 0.726)","0.244 (0.107, 0.381)","0.785 (0.526, 1.000)","0.347 (0.252, 0.441)"
Regressão Logística Toxicidade com entrada os embeddings do MiniLM (com PCA e Otimização via GridSearch),"0.570 (0.490, 0.650)","0.573 (0.464, 0.682)","0.351 (0.097, 0.606)","0.890 (0.759, 1.000)","0.251 (0.000, 0.620)","0.321 (0.000, 0.758)","0.249 (0.175, 0.323)","0.895 (0.744, 1.000)","0.382 (0.311, 0.454)"
Regressão Logística Toxicidade com entrada os embeddings do Qwen3 0.6B,"0.618 (0.414, 0.821)","0.551 (0.497, 0.605)","0.494 (0.396, 0.592)","0.828 (0.788, 0.868)","0.797 (0.416, 1.000)","0.777 (0.535, 1.000)","0.407 (0.000, 0.820)","0.304 (0.000, 0.746)","0.211 (0.000, 0.424)"
Regressão Logística Toxicidade com entrada os embeddings do Qwen3 0.6B (com ajuste de parâmetros),"0.565 (0.543, 0.587)","0.587 (0.561, 0.614)","0.507 (0.418, 0.596)","0.862 (0.819, 0.905)","0.547 (0.309, 0.784)","0.649 (0.461, 0.836)","0.268 (0.230, 0.305)","0.628 (0.384, 0.872)","0.366 (0.334, 0.398)"
Regressão Logística Toxicidade com entrada os embeddings do Qwen3 0.6B (com PCA e Otimização via GridSearch),"0.568 (0.552, 0.584)","0.597 (0.574, 0.619)","0.518 (0.445, 0.591)","0.864 (0.833, 0.895)","0.550 (0.359, 0.742)","0.660 (0.512, 0.807)","0.272 (0.240, 0.304)","0.643 (0.454, 0.832)","0.376 (0.351, 0.402)"
Regressão Logística Toxicidade com entrada os embeddings do Qwen3 4B,"0.674 (0.637, 0.711)","0.651 (0.593, 0.709)","0.641 (0.589, 0.693)","0.863 (0.823, 0.903)","0.854 (0.690, 1.000)","0.852 (0.775, 0.928)","0.485 (0.377, 0.592)","0.448 (0.191, 0.705)","0.430 (0.330, 0.530)"
Regressão Logística Toxicidade com entrada os embeddings do Qwen3 4B (com ajuste de parâmetros),"0.654 (0.613, 0.696)","0.679 (0.647, 0.712)","0.631 (0.554, 0.709)","0.892 (0.848, 0.936)","0.737 (0.509, 0.964)","0.793 (0.659, 0.927)","0.417 (0.295, 0.539)","0.622 (0.370, 0.873)","0.470 (0.428, 0.511)"
Regressão Logística Toxicidade com entrada os embeddings do Qwen3 4B (com PCA e Otimização via GridSearch),"0.644 (0.617, 0.670)","0.684 (0.603, 0.764)","0.632 (0.586, 0.678)","0.893 (0.835, 0.951)","0.745 (0.595, 0.896)","0.805 (0.737, 0.874)","0.394 (0.342, 0.446)","0.622 (0.327, 0.917)","0.459 (0.350, 0.568)"
Regressão Logística Toxicidade com entrada os embeddings do Qwen3 8B,"0.708 (0.681, 0.734)","0.701 (0.642, 0.759)","0.697 (0.662, 0.732)","0.880 (0.847, 0.913)","0.880 (0.815, 0.945)","0.879 (0.859, 0.898)","0.535 (0.471, 0.600)","0.521 (0.346, 0.697)","0.516 (0.440, 0.592)"
Regressão Logística Toxicidade com entrada os embeddings do Qwen3 8B (com ajuste de parâmetros),"0.670 (0.650, 0.690)","0.718 (0.705, 0.732)","0.666 (0.611, 0.721)","0.909 (0.867, 0.951)","0.751 (0.592, 0.910)","0.815 (0.725, 0.905)","0.431 (0.353, 0.508)","0.685 (0.504, 0.866)","0.517 (0.496, 0.538)"
Regressão Logística Toxicidade com entrada os embeddings do Qwen3 8B (com PCA e Otimização via GridSearch),"0.663 (0.634, 0.691)","0.692 (0.640, 0.744)","0.654 (0.611, 0.697)","0.891 (0.846, 0.936)","0.780 (0.625, 0.934)","0.825 (0.751, 0.899)","0.434 (0.348, 0.521)","0.604 (0.363, 0.846)","0.484 (0.417, 0.550)"
Perspective,"0.641 (0.597, 0.685)","0.640 (0.608, 0.672)","0.640 (0.602, 0.678)","0.854 (0.842, 0.866)","0.850 (0.806, 0.894)","0.852 (0.825, 0.878)","0.428 (0.351, 0.505)","0.430 (0.389, 0.472)","0.428 (0.376, 0.479)"
Detoxify ,"0.617 (0.528, 0.705)","0.546 (0.513, 0.580)","0.545 (0.500, 0.590)","0.813 (0.800, 0.826)","0.946 (0.922, 0.969)","0.874 (0.858, 0.891)","0.420 (0.254, 0.586)","0.147 (0.094, 0.200)","0.216 (0.140, 0.292)"
