model/test,macro_precision,macro_recall,macro_f1,class0precision,class0recall,class0f1,class1precision,class1recall,class1f1
LLama Few-Shot Embeddings MiniLM (Teste 1),"0.729 (0.702, 0.756)","0.717 (0.694, 0.739)","0.686 (0.665, 0.707)","0.878 (0.836, 0.919)","0.539 (0.517, 0.562)","0.668 (0.646, 0.689)","0.581 (0.566, 0.597)","0.894 (0.854, 0.934)","0.704 (0.682, 0.726)"
LLama Few-Shot Embeddings MiniLM (Teste 2),"0.739 (0.714, 0.763)","0.718 (0.699, 0.737)","0.682 (0.665, 0.699)","0.901 (0.863, 0.939)","0.515 (0.499, 0.532)","0.655 (0.638, 0.673)","0.576 (0.563, 0.589)","0.920 (0.887, 0.954)","0.708 (0.690, 0.727)"
LLama Few-Shot Embeddings MiniLM (Teste 3),"0.734 (0.717, 0.750)","0.722 (0.712, 0.733)","0.693 (0.685, 0.702)","0.879 (0.846, 0.913)","0.552 (0.526, 0.578)","0.678 (0.665, 0.690)","0.588 (0.581, 0.595)","0.893 (0.854, 0.932)","0.709 (0.696, 0.721)"
LLama Few-Shot Embeddings MiniLM (Teste 4),"0.736 (0.722, 0.751)","0.731 (0.718, 0.745)","0.707 (0.692, 0.721)","0.870 (0.844, 0.897)","0.585 (0.552, 0.619)","0.699 (0.679, 0.720)","0.602 (0.588, 0.617)","0.877 (0.844, 0.911)","0.714 (0.701, 0.727)"
LLama Few-Shot Embeddings Qwen3 - 0.6B (Teste 1),"0.730 (0.708, 0.752)","0.727 (0.704, 0.750)","0.704 (0.681, 0.728)","0.857 (0.830, 0.884)","0.592 (0.559, 0.625)","0.700 (0.673, 0.727)","0.602 (0.581, 0.623)","0.862 (0.832, 0.892)","0.709 (0.687, 0.730)"
LLama Few-Shot Embeddings Qwen3 - 0.6B (Teste 2),"0.732 (0.705, 0.759)","0.723 (0.696, 0.751)","0.696 (0.667, 0.725)","0.873 (0.841, 0.904)","0.561 (0.528, 0.595)","0.683 (0.650, 0.716)","0.591 (0.568, 0.615)","0.886 (0.858, 0.913)","0.709 (0.684, 0.734)"
LLama Few-Shot Embeddings Qwen3 - 0.6B (Teste 3),"0.739 (0.718, 0.761)","0.741 (0.720, 0.761)","0.722 (0.703, 0.741)","0.857 (0.829, 0.886)","0.628 (0.616, 0.639)","0.725 (0.708, 0.741)","0.621 (0.606, 0.636)","0.854 (0.821, 0.886)","0.719 (0.698, 0.740)"
LLama Few-Shot Embeddings Qwen3 - 0.6B (Teste 4),"0.743 (0.715, 0.771)","0.747 (0.719, 0.775)","0.732 (0.704, 0.759)","0.850 (0.816, 0.885)","0.656 (0.629, 0.683)","0.740 (0.714, 0.766)","0.635 (0.611, 0.660)","0.838 (0.796, 0.880)","0.723 (0.694, 0.752)"
LLama Few-Shot Embeddings Qwen3 - 4B (Teste 1),"0.734 (0.702, 0.766)","0.722 (0.692, 0.752)","0.692 (0.663, 0.721)","0.882 (0.836, 0.927)","0.548 (0.515, 0.580)","0.675 (0.644, 0.707)","0.587 (0.564, 0.610)","0.896 (0.854, 0.939)","0.709 (0.682, 0.736)"
LLama Few-Shot Embeddings Qwen3 - 4B (Teste 2),"0.738 (0.712, 0.763)","0.720 (0.694, 0.745)","0.685 (0.659, 0.712)","0.896 (0.864, 0.928)","0.524 (0.494, 0.553)","0.661 (0.630, 0.692)","0.579 (0.559, 0.599)","0.915 (0.891, 0.940)","0.709 (0.688, 0.731)"
LLama Few-Shot Embeddings Qwen3 - 4B (Teste 3),"0.738 (0.724, 0.753)","0.729 (0.709, 0.749)","0.701 (0.676, 0.726)","0.882 (0.869, 0.894)","0.564 (0.518, 0.610)","0.687 (0.652, 0.722)","0.595 (0.572, 0.618)","0.894 (0.879, 0.909)","0.714 (0.699, 0.729)"
LLama Few-Shot Embeddings Qwen3 - 4B (Teste 4),"0.732 (0.713, 0.750)","0.729 (0.707, 0.751)","0.707 (0.682, 0.732)","0.859 (0.846, 0.873)","0.595 (0.555, 0.634)","0.703 (0.672, 0.734)","0.604 (0.580, 0.629)","0.864 (0.856, 0.872)","0.711 (0.693, 0.730)"
LLama Few-Shot Embeddings Qwen3 - 8B (Teste 1),"0.746 (0.728, 0.764)","0.730 (0.708, 0.751)","0.697 (0.671, 0.722)","0.903 (0.879, 0.928)","0.540 (0.497, 0.583)","0.675 (0.641, 0.709)","0.589 (0.567, 0.611)","0.919 (0.897, 0.942)","0.718 (0.700, 0.735)"
LLama Few-Shot Embeddings Qwen3 - 8B (Teste 2),"0.738 (0.714, 0.761)","0.717 (0.690, 0.744)","0.681 (0.650, 0.712)","0.900 (0.870, 0.930)","0.514 (0.465, 0.562)","0.653 (0.612, 0.695)","0.576 (0.551, 0.601)","0.920 (0.895, 0.945)","0.708 (0.687, 0.729)"
LLama Few-Shot Embeddings Qwen3 - 8B (Teste 3),"0.740 (0.720, 0.759)","0.734 (0.718, 0.750)","0.734 (0.718, 0.750)","0.875 (0.840, 0.909)","0.588 (0.561, 0.614)","0.703 (0.686, 0.719)","0.605 (0.592, 0.617)","0.881 (0.840, 0.921)","0.717 (0.700, 0.734)"
LLama Few-Shot Embeddings Qwen3 - 8B (Teste 4),"0.732 (0.712, 0.753)","0.731 (0.712, 0.750)","0.711 (0.692, 0.729)","0.854 (0.817, 0.891)","0.610 (0.566, 0.654)","0.711 (0.686, 0.735)","0.610 (0.591, 0.630)","0.852 (0.800, 0.905)","0.711 (0.691, 0.731)"
BerTimbau,"0.759 (0.730, 0.788)","0.756 (0.724, 0.788)","0.754 (0.722, 0.787)","0.795 (0.737, 0.854)","0.802 (0.733, 0.871)","0.796 (0.768, 0.825)","0.722 (0.654, 0.790)","0.710 (0.618, 0.802)","0.712 (0.672, 0.752)"
RoBERTa - toxicidade - desbalanceado,"0.739 (0.722, 0.756)","0.734 (0.712, 0.756)","0.735 (0.716, 0.754)","0.775 (0.741, 0.810)","0.794 (0.747, 0.841)","0.783 (0.769, 0.797)","0.702 (0.674, 0.731)","0.675 (0.597, 0.754)","0.687 (0.652, 0.721)"
RoBERTa - toxicidade - balanceado 50/50,"0.718 (0.690, 0.745)","0.720 (0.698, 0.742)","0.714 (0.688, 0.740)","0.787 (0.757, 0.818)","0.711 (0.620, 0.802)","0.745 (0.704, 0.787)","0.648 (0.589, 0.708)","0.729 (0.655, 0.802)","0.683 (0.661, 0.706)"
RoBERTa - toxicidade - balanceado 60/40,"0.740 (0.714, 0.767)","0.736 (0.711, 0.760)","0.737 (0.712, 0.761)","0.774 (0.746, 0.803)","0.797 (0.745, 0.850)","0.785 (0.761, 0.809)","0.706 (0.661, 0.751)","0.674 (0.612, 0.736)","0.688 (0.657, 0.720)"
TabPFN - toxicidade,"0.4917 (0.2916, 0.7923)","0.5012 (0.5000, 0.5030)","0.3709 (0.3683, 0.3748)","0.5835 (0.5831, 0.5846)","1.0000 (1.0000, 1.0000)","0.7370 (0.7367, 0.7378)","0.4000 (0.0000, 1.0000)","0.0024 (0.0000, 0.0060)","0.0047 (0.0000, 0.0118)"
Regressao Logistica Toxicidade TF-IDF (sem stop words),"0.664 (0.653, 0.675)","0.668 (0.656, 0.679)","0.664 (0.653, 0.675)","0.735 (0.719, 0.751)","0.678 (0.647, 0.709)","0.705 (0.691, 0.719)","0.594 (0.579, 0.608)","0.657 (0.618, 0.696)","0.623 (0.606, 0.641)"
Regressao Logistica Toxicidade TF-IDF (stop words padrão),"0.641 (0.629, 0.654)","0.642 (0.627, 0.657)","0.640 (0.628, 0.652)","0.708 (0.683, 0.734)","0.676 (0.625, 0.728)","0.691 (0.673, 0.709)","0.574 (0.561, 0.587)","0.608 (0.533, 0.683)","0.589 (0.557, 0.621)"
Regressao Logistica Toxicidade TF-IDF (stop words customizadas),"0.617 (0.589, 0.645)","0.614 (0.586, 0.643)","0.614 (0.586, 0.642)","0.676 (0.648, 0.704)","0.700 (0.646, 0.754)","0.687 (0.662, 0.711)","0.558 (0.522, 0.594)","0.529 (0.448, 0.609)","0.541 (0.493, 0.589)"
Regressao Logistica Toxicidade TF-IDF (sem stop words + stemming),"0.683 (0.654, 0.712)","0.685 (0.657, 0.713)","0.683 (0.655, 0.711)","0.746 (0.717, 0.774)","0.710 (0.659, 0.760)","0.727 (0.698, 0.755)","0.620 (0.581, 0.660)","0.661 (0.603, 0.719)","0.639 (0.604, 0.674)"
Regressao Logistica Toxicidade TF-IDF (stop words padrão + stemming),"0.654 (0.594, 0.713)","0.653 (0.599, 0.707)","0.652 (0.596, 0.707)","0.714 (0.674, 0.754)","0.694 (0.604, 0.784)","0.703 (0.645, 0.761)","0.593 (0.508, 0.678)","0.612 (0.549, 0.675)","0.601 (0.543, 0.659)"
Regressao Logistica Toxicidade TF-IDF (stop words customizadas + stemming),"0.638 (0.625, 0.651)","0.638 (0.622, 0.654)","0.637 (0.623, 0.651)","0.702 (0.679, 0.725)","0.685 (0.633, 0.736)","0.692 (0.674, 0.711)","0.574 (0.557, 0.591)","0.592 (0.519, 0.664)","0.581 (0.548, 0.615)"
Regressão Logística Toxicidade com entrada os embeddings do Roberta,"0.735 (0.727, 0.744)","0.720 (0.691, 0.749)","0.720 (0.695, 0.745)","0.759 (0.701, 0.817)","0.810 (0.714, 0.906)","0.780 (0.759, 0.801)","0.712 (0.660, 0.763)","0.630 (0.482, 0.778)","0.660 (0.600, 0.721)"
Regressão Logística Toxicidade com entrada os embeddings do Roberta (com ajuste de parâmetros),"0.736 (0.706, 0.766)","0.714 (0.677, 0.750)","0.709 (0.678, 0.741)","0.765 (0.688, 0.841)","0.788 (0.636, 0.940)","0.768 (0.732, 0.804)","0.707 (0.597, 0.817)","0.639 (0.424, 0.854)","0.651 (0.565, 0.737)"
Regressão Logística Toxicidade com entrada os embeddings do RoBERTa (com PCA e Otimização via GridSearch),"0.741 (0.705, 0.776)","0.688 (0.569, 0.807)","0.658 (0.484, 0.832)","0.768 (0.635, 0.901)","0.763 (0.529, 0.998)","0.744 (0.674, 0.814)","0.713 (0.549, 0.877)","0.613 (0.190, 1.000)","0.572 (0.230, 0.915)"
Regressão Logística Toxicidade com entrada os embeddings do BERTimbau,"0.705 (0.621, 0.790)","0.673 (0.568, 0.779)","0.656 (0.520, 0.792)","0.733 (0.616, 0.851)","0.805 (0.596, 1.000)","0.750 (0.669, 0.831)","0.677 (0.552, 0.801)","0.542 (0.193, 0.891)","0.562 (0.309, 0.816)"
Regressão Logística Toxicidade com entrada os embeddings do BERTimbau (com ajuste de parâmetros),"0.751 (0.736, 0.766)","0.741 (0.713, 0.770)","0.739 (0.717, 0.762)","0.790 (0.722, 0.857)","0.791 (0.679, 0.903)","0.785 (0.754, 0.816)","0.713 (0.651, 0.775)","0.692 (0.537, 0.846)","0.694 (0.642, 0.746)"
Regressão Logística Toxicidade com entrada os embeddings do BERTimbau (com PCA e Otimização via GridSearch),"0.755 (0.738, 0.772)","0.748 (0.715, 0.781)","0.746 (0.721, 0.771)","0.795 (0.726, 0.864)","0.795 (0.708, 0.881)","0.791 (0.778, 0.804)","0.715 (0.673, 0.758)","0.701 (0.552, 0.851)","0.702 (0.645, 0.758)"
Regressão Logística Toxicidade com entrada os embeddings do MiniLM,"0.699 (0.659, 0.738)","0.691 (0.641, 0.740)","0.689 (0.641, 0.736)","0.742 (0.677, 0.808)","0.763 (0.670, 0.856)","0.749 (0.718, 0.780)","0.655 (0.604, 0.706)","0.618 (0.455, 0.781)","0.629 (0.542, 0.716)"
Regressão Logística Toxicidade com entrada os embeddings do MiniLM (com ajuste de parâmetros),"0.718 (0.693, 0.742)","0.719 (0.696, 0.742)","0.714 (0.691, 0.737)","0.785 (0.742, 0.828)","0.719 (0.631, 0.806)","0.748 (0.712, 0.784)","0.651 (0.601, 0.701)","0.719 (0.624, 0.814)","0.680 (0.649, 0.711)"
Regressão Logística Toxicidade com entrada os embeddings do MiniLM (com PCA e Otimização via GridSearch),"0.725 (0.696, 0.755)","0.728 (0.700, 0.756)","0.722 (0.690, 0.754)","0.796 (0.763, 0.830)","0.715 (0.624, 0.805)","0.751 (0.705, 0.797)","0.655 (0.597, 0.712)","0.742 (0.670, 0.814)","0.693 (0.664, 0.722)"
Regressão Logística Toxicidade com entrada os embeddings do Qwen3 0.6B,"0.479 (0.288, 0.669)","0.512 (0.501, 0.523)","0.420 (0.323, 0.517)","0.477 (0.146, 0.808)","0.591 (0.047, 1.000)","0.500 (0.105, 0.895)","0.481 (0.394, 0.568)","0.432 (0.000, 0.964)","0.340 (0.057, 0.624)"
Regressão Logística Toxicidade com entrada os embeddings do Qwen3 0.6B (com ajuste de parâmetros),"0.527 (0.506, 0.549)","0.525 (0.502, 0.549)","0.496 (0.447, 0.545)","0.617 (0.591, 0.642)","0.398 (0.227, 0.570)","0.473 (0.342, 0.603)","0.438 (0.418, 0.458)","0.652 (0.490, 0.814)","0.519 (0.464, 0.574)"
Regressão Logística Toxicidade com entrada os embeddings do Qwen3 0.6B (com PCA e Otimização via GridSearch),"0.519 (0.497, 0.542)","0.518 (0.495, 0.540)","0.494 (0.449, 0.539)","0.608 (0.579, 0.636)","0.467 (0.244, 0.691)","0.509 (0.354, 0.664)","0.431 (0.413, 0.450)","0.568 (0.323, 0.813)","0.479 (0.376, 0.582)"
Regressão Logística Toxicidade com entrada os embeddings do Qwen3 4B,"0.711 (0.684, 0.738)","0.707 (0.680, 0.734)","0.704 (0.674, 0.735)","0.763 (0.719, 0.808)","0.743 (0.629, 0.858)","0.749 (0.700, 0.799)","0.659 (0.597, 0.720)","0.670 (0.553, 0.787)","0.659 (0.618, 0.701)"
Regressão Logística Toxicidade com entrada os embeddings do Qwen3 4B (com ajuste de parâmetros),"0.733 (0.708, 0.758)","0.729 (0.708, 0.750)","0.722 (0.693, 0.752)","0.800 (0.740, 0.860)","0.724 (0.581, 0.867)","0.753 (0.692, 0.814)","0.667 (0.588, 0.745)","0.735 (0.602, 0.867)","0.692 (0.664, 0.720)"
Regressão Logística Toxicidade com entrada os embeddings do Qwen3 4B (com PCA e Otimização via GridSearch),"0.730 (0.707, 0.754)","0.722 (0.708, 0.736)","0.716 (0.699, 0.733)","0.787 (0.725, 0.850)","0.737 (0.586, 0.888)","0.753 (0.699, 0.808)","0.673 (0.583, 0.764)","0.707 (0.550, 0.865)","0.679 (0.644, 0.713)"
Regressão Logística Toxicidade com entrada os embeddings do Qwen3 8B,"0.733 (0.693, 0.773)","0.729 (0.686, 0.771)","0.729 (0.688, 0.771)","0.770 (0.726, 0.814)","0.790 (0.738, 0.841)","0.779 (0.746, 0.812)","0.695 (0.646, 0.745)","0.668 (0.582, 0.754)","0.680 (0.625, 0.735)"
Regressão Logística Toxicidade com entrada os embeddings do Qwen3 8B (com ajuste de parâmetros),"0.746 (0.718, 0.773)","0.747 (0.716, 0.778)","0.744 (0.713, 0.776)","0.800 (0.764, 0.837)","0.763 (0.694, 0.832)","0.780 (0.745, 0.814)","0.691 (0.645, 0.737)","0.731 (0.651, 0.811)","0.708 (0.669, 0.747)"
Regressão Logística Toxicidade com entrada os embeddings do Qwen3 8B (com PCA e Otimização via GridSearch),"0.736 (0.707, 0.766)","0.737 (0.703, 0.772)","0.732 (0.696, 0.769)","0.800 (0.756, 0.845)","0.737 (0.639, 0.835)","0.764 (0.718, 0.811)","0.672 (0.615, 0.730)","0.738 (0.635, 0.842)","0.700 (0.656, 0.744)"
Perspective,"0.751 (0.723, 0.779)","0.743 (0.715, 0.771)","0.746 (0.718, 0.773)","0.776 (0.748, 0.804)","0.818 (0.776, 0.860)","0.796 (0.772, 0.820)","0.726 (0.684, 0.767)","0.669 (0.614, 0.724)","0.695 (0.660, 0.730)"
Detoxify ,"0.705 (0.676, 0.735)","0.671 (0.633, 0.708)","0.671 (0.629, 0.714)","0.700 (0.668, 0.731)","0.860 (0.830, 0.890)","0.771 (0.754, 0.788)","0.711 (0.675, 0.747)","0.481 (0.390, 0.572)","0.571 (0.500, 0.643)"
