model/test,macro_precision,macro_recall,macro_f1,class0precision,class0recall,class0f1,class1precision,class1recall,class1f1
LLama Few-Shot Embeddings Qwen3 - 4B (Teste 3),"0.600 (0.574, 0.626)","0.645 (0.601, 0.688)","0.504 (0.449, 0.559)","0.921 (0.900, 0.943)","0.434 (0.353, 0.515)","0.588 (0.514, 0.662)","0.279 (0.245, 0.313)","0.855 (0.817, 0.894)","0.420 (0.381, 0.459)"
LLama Few-Shot Embeddings Qwen3 - 4B (Teste 4),"0.608 (0.593, 0.622)","0.660 (0.636, 0.685)","0.529 (0.492, 0.567)","0.924 (0.910, 0.938)","0.475 (0.410, 0.539)","0.626 (0.572, 0.679)","0.291 (0.268, 0.315)","0.846 (0.804, 0.887)","0.433 (0.409, 0.457)"
LLama Few-Shot Embeddings Qwen3 - 8B (Teste 1),"0.615 (0.598, 0.632)","0.672 (0.642, 0.702)","0.538 (0.500, 0.576)","0.932 (0.916, 0.948)","0.481 (0.422, 0.540)","0.634 (0.580, 0.687)","0.298 (0.277, 0.318)","0.863 (0.830, 0.896)","0.442 (0.418, 0.466)"
LLama Few-Shot Embeddings Qwen3 - 8B (Teste 2),"0.620 (0.602, 0.637)","0.681 (0.652, 0.710)","0.551 (0.520, 0.582)","0.934 (0.915, 0.952)","0.502 (0.457, 0.546)","0.652 (0.612, 0.692)","0.305 (0.285, 0.325)","0.860 (0.822, 0.899)","0.450 (0.426, 0.475)"
LLama Few-Shot Embeddings Qwen3 - 8B (Teste 3),"0.619 (0.603, 0.635)","0.681 (0.654, 0.708)","0.554 (0.527, 0.582)","0.931 (0.917, 0.946)","0.509 (0.475, 0.543)","0.658 (0.626, 0.690)","0.306 (0.288, 0.325)","0.853 (0.829, 0.877)","0.451 (0.428, 0.474)"
LLama Few-Shot Embeddings Qwen3 - 8B (Teste 4),"0.629 (0.605, 0.653)","0.699 (0.662, 0.736)","0.581 (0.553, 0.610)","0.934 (0.910, 0.958)","0.553 (0.525, 0.581)","0.694 (0.667, 0.721)","0.324 (0.301, 0.348)","0.845 (0.790, 0.901)","0.469 (0.436, 0.502)"
BerTimbau,"0.729 (0.700, 0.757)","0.717 (0.696, 0.738)","0.722 (0.700, 0.744)","0.884 (0.875, 0.894)","0.897 (0.873, 0.922)","0.891 (0.878, 0.903)","0.573 (0.519, 0.627)","0.537 (0.491, 0.583)","0.553 (0.518, 0.588)"
RoBERTa - misoginia - desbalanceado,"0.741 (0.691, 0.791)","0.735 (0.688, 0.782)","0.736 (0.696, 0.776)","0.893 (0.870, 0.916)","0.896 (0.860, 0.932)","0.894 (0.876, 0.912)","0.589 (0.497, 0.682)","0.574 (0.473, 0.674)","0.578 (0.513, 0.643)"
RoBERTa - misoginia - balanceado 50/50,"0.673 (0.666, 0.679)","0.754 (0.740, 0.768)","0.675 (0.670, 0.681)","0.933 (0.919, 0.947)","0.712 (0.688, 0.736)","0.807 (0.796, 0.818)","0.413 (0.404, 0.421)","0.797 (0.746, 0.847)","0.543 (0.533, 0.554)"
RoBERTa - misoginia - balanceado 60/40,"0.702 (0.660, 0.743)","0.771 (0.737, 0.804)","0.710 (0.645, 0.774)","0.932 (0.912, 0.952)","0.767 (0.652, 0.883)","0.838 (0.769, 0.908)","0.471 (0.382, 0.561)","0.774 (0.688, 0.861)","0.581 (0.518, 0.643)"
TabPFN - misoginia,"0.8229 (0.7333, 0.9012)","0.5150 (0.5062, 0.5228)","0.4753 (0.4569, 0.4910)","0.8024 (0.8000, 0.8045)","0.9981 (0.9969, 1.0000)","0.8896 (0.8877, 0.8904)","0.8433 (0.6667, 1.0000)","0.0318 (0.0123, 0.0488)","0.0609 (0.0244, 0.0920)"
Regressao Logistica Misoginia TF-IDF (sem stop words),"0.667 (0.649, 0.685)","0.736 (0.718, 0.753)","0.674 (0.649, 0.700)","0.916 (0.909, 0.923)","0.739 (0.695, 0.783)","0.817 (0.791, 0.844)","0.418 (0.383, 0.452)","0.733 (0.698, 0.767)","0.531 (0.505, 0.558)"
Regressao Logistica Misoginia TF-IDF (stop words padrão),"0.654 (0.638, 0.670)","0.717 (0.697, 0.737)","0.659 (0.637, 0.681)","0.907 (0.894, 0.920)","0.731 (0.687, 0.775)","0.809 (0.784, 0.834)","0.401 (0.371, 0.430)","0.703 (0.646, 0.761)","0.509 (0.484, 0.534)"
Regressao Logistica Misoginia TF-IDF (stop words customizadas),"0.658 (0.643, 0.674)","0.723 (0.701, 0.746)","0.665 (0.647, 0.683)","0.910 (0.895, 0.925)","0.736 (0.702, 0.771)","0.813 (0.795, 0.832)","0.407 (0.383, 0.431)","0.711 (0.648, 0.774)","0.517 (0.491, 0.542)"
Regressao Logistica Misoginia TF-IDF (sem stop words + stemming),"0.661 (0.643, 0.678)","0.726 (0.703, 0.748)","0.668 (0.645, 0.691)","0.910 (0.897, 0.923)","0.741 (0.700, 0.781)","0.816 (0.793, 0.839)","0.411 (0.381, 0.442)","0.711 (0.657, 0.764)","0.520 (0.493, 0.548)"
Regressao Logistica Misoginia TF-IDF (stop words padrão + stemming),"0.652 (0.636, 0.669)","0.715 (0.690, 0.741)","0.659 (0.641, 0.677)","0.905 (0.890, 0.921)","0.734 (0.705, 0.764)","0.811 (0.795, 0.826)","0.400 (0.378, 0.422)","0.696 (0.632, 0.760)","0.507 (0.479, 0.535)"
Regressao Logistica Misoginia TF-IDF (stop words customizadas + stemming),"0.655 (0.643, 0.667)","0.719 (0.697, 0.741)","0.661 (0.647, 0.675)","0.908 (0.891, 0.925)","0.732 (0.694, 0.771)","0.810 (0.792, 0.829)","0.402 (0.382, 0.421)","0.706 (0.632, 0.779)","0.511 (0.489, 0.533)"
Regressão Logística Misoginia com entrada os embeddings do Roberta,"0.660 (0.437, 0.882)","0.589 (0.479, 0.698)","0.545 (0.436, 0.653)","0.849 (0.762, 0.935)","0.870 (0.598, 1.000)","0.838 (0.703, 0.972)","0.470 (0.017, 0.924)","0.307 (0.000, 0.780)","0.252 (0.000, 0.520)"
Regressão Logística Misoginia com entrada os embeddings do Roberta (com ajuste de parâmetros),"0.650 (0.636, 0.664)","0.711 (0.657, 0.765)","0.634 (0.596, 0.673)","0.918 (0.865, 0.971)","0.687 (0.538, 0.835)","0.778 (0.698, 0.859)","0.381 (0.342, 0.421)","0.734 (0.494, 0.975)","0.490 (0.436, 0.545)"
Regressão Logística Misoginia com entrada os embeddings do RoBERTa (com PCA e Otimização via GridSearch),"0.637 (0.612, 0.662)","0.687 (0.616, 0.759)","0.587 (0.511, 0.664)","0.928 (0.855, 1.000)","0.613 (0.379, 0.848)","0.719 (0.569, 0.869)","0.346 (0.293, 0.399)","0.761 (0.434, 1.000)","0.456 (0.372, 0.540)"
Regressão Logística Misoginia com entrada os embeddings do BERTimbau,"0.728 (0.616, 0.840)","0.677 (0.569, 0.785)","0.648 (0.478, 0.819)","0.882 (0.837, 0.928)","0.804 (0.463, 1.000)","0.813 (0.577, 1.000)","0.574 (0.321, 0.826)","0.550 (0.225, 0.876)","0.483 (0.313, 0.653)"
Regressão Logística Misoginia com entrada os embeddings do BERTimbau (com ajuste de parâmetros),"0.690 (0.611, 0.769)","0.707 (0.618, 0.797)","0.653 (0.485, 0.821)","0.906 (0.870, 0.943)","0.734 (0.411, 1.000)","0.784 (0.544, 1.000)","0.474 (0.294, 0.653)","0.681 (0.442, 0.919)","0.522 (0.416, 0.627)"
Regressão Logística Misoginia com entrada os embeddings do BERTimbau (com PCA e Otimização via GridSearch),"0.683 (0.633, 0.733)","0.729 (0.678, 0.781)","0.675 (0.620, 0.730)","0.913 (0.878, 0.948)","0.756 (0.607, 0.905)","0.822 (0.745, 0.898)","0.453 (0.328, 0.578)","0.703 (0.502, 0.904)","0.528 (0.474, 0.583)"
Regressão Logística Misoginia com entrada os embeddings do MiniLM,"0.674 (0.505, 0.843)","0.636 (0.462, 0.811)","0.638 (0.475, 0.800)","0.852 (0.773, 0.931)","0.842 (0.661, 1.000)","0.843 (0.722, 0.964)","0.496 (0.216, 0.776)","0.430 (0.164, 0.697)","0.432 (0.213, 0.651)"
Regressão Logística Misoginia com entrada os embeddings do MiniLM (com ajuste de parâmetros),"0.658 (0.520, 0.796)","0.658 (0.504, 0.812)","0.628 (0.444, 0.812)","0.862 (0.780, 0.944)","0.749 (0.444, 1.000)","0.786 (0.555, 1.000)","0.454 (0.239, 0.669)","0.568 (0.371, 0.765)","0.470 (0.319, 0.621)"
Regressão Logística Misoginia com entrada os embeddings do MiniLM (com PCA e Otimização via GridSearch),"0.642 (0.572, 0.711)","0.706 (0.597, 0.815)","0.608 (0.453, 0.763)","0.918 (0.880, 0.955)","0.613 (0.375, 0.850)","0.721 (0.511, 0.930)","0.366 (0.261, 0.470)","0.799 (0.729, 0.869)","0.496 (0.391, 0.600)"
Regressão Logística Misoginia com entrada os embeddings do Qwen3 0.6B,"0.562 (0.156, 0.967)","0.525 (0.481, 0.569)","0.432 (0.238, 0.627)","0.648 (0.198, 1.000)","0.761 (0.223, 1.000)","0.698 (0.212, 1.000)","0.476 (0.000, 1.000)","0.289 (0.000, 0.814)","0.167 (0.000, 0.370)"
Regressão Logística Misoginia com entrada os embeddings do Qwen3 0.6B (com ajuste de parâmetros),"0.498 (0.214, 0.782)","0.560 (0.502, 0.618)","0.440 (0.231, 0.648)","0.677 (0.206, 1.000)","0.510 (0.033, 0.987)","0.554 (0.116, 0.993)","0.319 (0.131, 0.506)","0.611 (0.182, 1.000)","0.325 (0.211, 0.439)"
Regressão Logística Misoginia com entrada os embeddings do Qwen3 0.6B (com PCA e Otimização via GridSearch),"0.546 (0.508, 0.583)","0.569 (0.512, 0.627)","0.510 (0.464, 0.555)","0.840 (0.806, 0.875)","0.558 (0.496, 0.620)","0.670 (0.623, 0.717)","0.251 (0.208, 0.294)","0.581 (0.470, 0.691)","0.350 (0.292, 0.407)"
Regressão Logística Misoginia com entrada os embeddings do Qwen3 4B,"0.679 (0.609, 0.749)","0.682 (0.605, 0.758)","0.668 (0.600, 0.737)","0.877 (0.834, 0.920)","0.844 (0.718, 0.970)","0.856 (0.797, 0.915)","0.481 (0.347, 0.615)","0.520 (0.290, 0.749)","0.481 (0.366, 0.595)"
Regressão Logística Misoginia com entrada os embeddings do Qwen3 4B (com ajuste de parâmetros),"0.656 (0.602, 0.709)","0.703 (0.629, 0.776)","0.642 (0.558, 0.727)","0.907 (0.854, 0.959)","0.719 (0.535, 0.904)","0.793 (0.682, 0.904)","0.405 (0.299, 0.510)","0.686 (0.448, 0.924)","0.492 (0.399, 0.586)"
Regressão Logística Misoginia com entrada os embeddings do Qwen3 4B (com PCA e Otimização via GridSearch),"0.678 (0.621, 0.734)","0.709 (0.671, 0.748)","0.670 (0.589, 0.752)","0.899 (0.867, 0.931)","0.776 (0.591, 0.961)","0.825 (0.716, 0.933)","0.456 (0.327, 0.585)","0.642 (0.463, 0.822)","0.516 (0.448, 0.584)"
Regressão Logística Misoginia com entrada os embeddings do Qwen3 8B,"0.737 (0.716, 0.757)","0.712 (0.664, 0.759)","0.719 (0.691, 0.746)","0.882 (0.857, 0.906)","0.907 (0.866, 0.947)","0.893 (0.884, 0.903)","0.591 (0.540, 0.643)","0.517 (0.384, 0.650)","0.544 (0.485, 0.604)"
Regressão Logística Misoginia com entrada os embeddings do Qwen3 8B (com ajuste de parâmetros),"0.697 (0.666, 0.728)","0.756 (0.706, 0.805)","0.710 (0.673, 0.746)","0.918 (0.888, 0.949)","0.796 (0.729, 0.864)","0.852 (0.820, 0.884)","0.477 (0.420, 0.533)","0.715 (0.579, 0.851)","0.567 (0.512, 0.623)"
Regressão Logística Misoginia com entrada os embeddings do Qwen3 8B (com PCA e Otimização via GridSearch),"0.703 (0.675, 0.731)","0.767 (0.744, 0.789)","0.716 (0.681, 0.751)","0.924 (0.907, 0.941)","0.791 (0.722, 0.861)","0.852 (0.815, 0.889)","0.481 (0.420, 0.542)","0.742 (0.666, 0.819)","0.581 (0.543, 0.618)"
Perspective,"0.605 (0.551, 0.659)","0.607 (0.550, 0.665)","0.606 (0.550, 0.662)","0.841 (0.818, 0.865)","0.838 (0.823, 0.852)","0.839 (0.822, 0.857)","0.369 (0.284, 0.453)","0.377 (0.272, 0.482)","0.373 (0.278, 0.467)"
Detoxify,"0.569 (0.512, 0.627)","0.531 (0.504, 0.558)","0.523 (0.481, 0.565)","0.808 (0.799, 0.818)","0.940 (0.923, 0.956)","0.869 (0.862, 0.876)","0.330 (0.225, 0.436)","0.123 (0.061, 0.184)","0.177 (0.096, 0.258)"
